date 1,action,server port,message,ssh,perform,ip,date 2
"2020-09-20 00:01:17,985",actions,519,NOTICE,sshd,Unban,222.186.175.183,
"2020-09-20 00:04:33,379",filter,519,INFO,sshd,Found,218.92.0.247,9/20/2020 0:04
"2020-09-20 00:04:33,517",actions,519,NOTICE,sshd,Ban,218.92.0.247,
"2020-09-20 00:04:34,997",filter,519,INFO,sshd,Found,218.92.0.247,9/20/2020 0:04
"2020-09-20 00:05:17,971",filter,519,INFO,sshd,Found,185.111.88.95,9/20/2020 0:05
"2020-09-20 00:05:17,975",filter,519,INFO,sshd,Found,185.111.88.95,9/20/2020 0:05
"2020-09-20 00:05:18,204",actions,519,NOTICE,sshd,Ban,185.111.88.95,
"2020-09-20 00:05:20,681",filter,519,INFO,sshd,Found,185.111.88.95,9/20/2020 0:05
"2020-09-20 00:05:20,829",actions,519,NOTICE,sshd,already banned,185.111.88.95,
"2020-09-20 00:07:34,411",actions,519,NOTICE,sshd,Unban,222.186.175.217,
"2020-09-20 00:10:32,447",filter,519,INFO,sshd,Found,37.252.187.140,9/20/2020 0:10
"2020-09-20 00:10:32,712",actions,519,NOTICE,sshd,Ban,37.252.187.140,
"2020-09-20 00:10:34,072",filter,519,INFO,sshd,Found,37.252.187.140,9/20/2020 0:10
"2020-09-20 00:10:50,770",actions,519,NOTICE,sshd,Unban,218.92.0.248,
"2020-09-20 00:17:41,432",actions,519,NOTICE,sshd,Unban,222.186.173.201,
"2020-09-20 00:20:32,568",filter,519,INFO,sshd,Found,222.186.175.151,9/20/2020 0:20
"2020-09-20 00:20:32,921",actions,519,NOTICE,sshd,Ban,222.186.175.151,
"2020-09-20 00:20:35,284",filter,519,INFO,sshd,Found,222.186.175.151,9/20/2020 0:20
"2020-09-20 00:26:51,537",actions,519,NOTICE,sshd,Unban,112.85.42.176,
"2020-09-20 00:36:22,355",filter,519,INFO,sshd,Found,218.92.0.250,9/20/2020 0:36
"2020-09-20 00:36:22,441",actions,519,NOTICE,sshd,Ban,218.92.0.250,
"2020-09-20 00:36:24,371",filter,519,INFO,sshd,Found,218.92.0.250,9/20/2020 0:36
"2020-09-20 00:37:18,678",actions,519,NOTICE,sshd,Unban,112.85.42.200,
"2020-09-20 00:40:10,958",actions,519,NOTICE,sshd,Unban,222.186.175.215,
"2020-09-20 00:42:43,183",actions,519,NOTICE,sshd,Unban,188.131.146.143,
"2020-09-20 00:45:55,344",filter,519,INFO,sshd,Found,222.186.175.150,9/20/2020 0:45
"2020-09-20 00:45:55,465",actions,519,NOTICE,sshd,Ban,222.186.175.150,
"2020-09-20 00:45:57,203",filter,519,INFO,sshd,Found,222.186.175.150,9/20/2020 0:45
"2020-09-20 00:45:57,488",actions,519,NOTICE,sshd,already banned,222.186.175.150,
"2020-09-20 00:46:27,524",actions,519,NOTICE,sshd,Unban,103.129.223.101,
"2020-09-20 00:49:55,830",actions,519,NOTICE,sshd,Unban,222.186.190.2,
"2020-09-20 00:50:21,939",actions,519,NOTICE,sshd,Unban,106.12.202.119,
"2020-09-20 00:50:56,006",actions,519,NOTICE,sshd,Unban,218.92.0.172,
"2020-09-20 00:52:24,151",actions,519,NOTICE,sshd,Unban,137.74.132.175,
"2020-09-20 00:53:00,224",actions,519,NOTICE,sshd,Unban,198.98.54.28,
"2020-09-20 00:53:12,258",actions,519,NOTICE,sshd,Unban,222.186.173.226,
"2020-09-20 00:53:24,292",actions,519,NOTICE,sshd,Unban,192.81.209.72,
"2020-09-20 00:53:48,348",actions,519,NOTICE,sshd,Unban,186.23.211.154,
"2020-09-20 00:53:51,898",filter,519,INFO,sshd,Found,111.93.235.74,9/20/2020 0:53
"2020-09-20 00:53:52,372",actions,519,NOTICE,sshd,Ban,111.93.235.74,
"2020-09-20 00:53:54,619",filter,519,INFO,sshd,Found,111.93.235.74,9/20/2020 0:53
"2020-09-20 00:53:54,992",actions,519,NOTICE,sshd,already banned,111.93.235.74,
"2020-09-20 00:54:12,416",actions,519,NOTICE,sshd,Unban,106.13.47.78,
"2020-09-20 00:55:26,544",filter,519,INFO,sshd,Found,222.186.175.183,9/20/2020 0:55
"2020-09-20 00:55:26,735",actions,519,NOTICE,sshd,Ban,222.186.175.183,
"2020-09-20 00:55:27,497",filter,519,INFO,sshd,Found,222.186.175.183,9/20/2020 0:55
"2020-09-20 00:57:54,396",filter,519,INFO,sshd,Found,200.29.105.12,9/20/2020 0:57
"2020-09-20 00:57:54,966",actions,519,NOTICE,sshd,Ban,200.29.105.12,
"2020-09-20 00:57:56,087",filter,519,INFO,sshd,Found,200.29.105.12,9/20/2020 0:57
"2020-09-20 00:57:56,197",actions,519,NOTICE,sshd,already banned,200.29.105.12,
