date,action,server_port,message,ssh,perform,ip,asn,network_provider,domain,route,type,calling_code,city,continent_code,continent,country_code,country,is_eu,latitude,longitude,postal,region,region_code,is_tor,is_proxy,is_anonymous,is_known_attacker,is_known_abuser,is_threat,is_bogon,status
2020-09-06 02:05:03.184,actions,519,NOTICE,sshd,Unban,160.124.50.93,AS132839,POWER LINE DATACENTER,powerline.hk,160.124.32.0/19,hosting,27,None,AF,Africa,ZA,South Africa,False,-29.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-06 02:12:50.441,actions,519,NOTICE,sshd,Unban,165.231.13.13,AS57858,Inter Connects Inc,interconnects.us,165.231.13.0/24,isp,248,Victoria,AF,Africa,SC,Seychelles,False,-4.6160000000000005,55.4461,None,English River,16,False,False,False,False,False,False,False,200
2020-09-06 04:47:21.589,filter,519,INFO,sshd,Found,213.193.44.13,AS16637,MTN SA,mtn.co.za,213.193.40.0/21,hosting,267,Gaborone,AF,Africa,BW,Botswana,False,-24.6437,25.9112,None,Gaborone,GA,False,False,False,False,False,False,False,200
2020-09-06 04:47:21.592,filter,519,INFO,sshd,Found,213.193.44.13,AS16637,MTN SA,mtn.co.za,213.193.40.0/21,hosting,267,Gaborone,AF,Africa,BW,Botswana,False,-24.6437,25.9112,None,Gaborone,GA,False,False,False,False,False,False,False,200
2020-09-06 04:47:22.105,actions,519,NOTICE,sshd,Ban,213.193.44.13,AS16637,MTN SA,mtn.co.za,213.193.40.0/21,hosting,267,Gaborone,AF,Africa,BW,Botswana,False,-24.6437,25.9112,None,Gaborone,GA,False,False,False,False,False,False,False,200
2020-09-06 04:47:24.321,filter,519,INFO,sshd,Found,213.193.44.13,AS16637,MTN SA,mtn.co.za,213.193.40.0/21,hosting,267,Gaborone,AF,Africa,BW,Botswana,False,-24.6437,25.9112,None,Gaborone,GA,False,False,False,False,False,False,False,200
2020-09-06 07:14:14.048,filter,519,INFO,sshd,Found,193.227.16.160,AS2561,Egyptian Universities Network (EUN),portal.eun.eg,193.227.16.0/24,isp,20,Al Fayyum,AF,Africa,EG,Egypt,False,29.3099,30.8418,None,Faiyum,FYM,False,False,False,False,False,False,False,200
2020-09-06 07:14:14.053,actions,519,NOTICE,sshd,Ban,193.227.16.160,AS2561,Egyptian Universities Network (EUN),portal.eun.eg,193.227.16.0/24,isp,20,Al Fayyum,AF,Africa,EG,Egypt,False,29.3099,30.8418,None,Faiyum,FYM,False,False,False,False,False,False,False,200
2020-09-06 07:14:16.757,filter,519,INFO,sshd,Found,193.227.16.160,AS2561,Egyptian Universities Network (EUN),portal.eun.eg,193.227.16.0/24,isp,20,Al Fayyum,AF,Africa,EG,Egypt,False,29.3099,30.8418,None,Faiyum,FYM,False,False,False,False,False,False,False,200
2020-09-06 07:47:23.233,actions,519,NOTICE,sshd,Unban,213.193.44.13,AS16637,MTN SA,mtn.co.za,213.193.40.0/21,hosting,267,Gaborone,AF,Africa,BW,Botswana,False,-24.6437,25.9112,None,Gaborone,GA,False,False,False,False,False,False,False,200
2020-09-06 10:14:16.643,actions,519,NOTICE,sshd,Unban,193.227.16.160,AS2561,Egyptian Universities Network (EUN),portal.eun.eg,193.227.16.0/24,isp,20,Al Fayyum,AF,Africa,EG,Egypt,False,29.3099,30.8418,None,Faiyum,FYM,False,False,False,False,False,False,False,200
2020-09-06 10:27:58.180,filter,519,INFO,sshd,Found,102.36.164.141, None, None, None, None, None,226,None,AF,Africa,BF,Burkina Faso,False,13.0,-2.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-06 10:27:58.369,actions,519,NOTICE,sshd,Ban,102.36.164.141, None, None, None, None, None,226,None,AF,Africa,BF,Burkina Faso,False,13.0,-2.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-06 10:27:59.505,filter,519,INFO,sshd,Found,102.36.164.141, None, None, None, None, None,226,None,AF,Africa,BF,Burkina Faso,False,13.0,-2.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-06 13:28:00.261,actions,519,NOTICE,sshd,Unban,102.36.164.141, None, None, None, None, None,226,None,AF,Africa,BF,Burkina Faso,False,13.0,-2.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-06 17:42:34.823,filter,519,INFO,sshd,Found,41.111.135.199,AS36947,Telecom Algeria,algerietelecom.dz,41.111.128.0/17,isp,213,Algiers,AF,Africa,DZ,Algeria,False,36.7631,3.0506,16015,Algiers,16,False,False,False,False,False,False,False,200
2020-09-06 17:42:34.832,filter,519,INFO,sshd,Found,41.111.135.199,AS36947,Telecom Algeria,algerietelecom.dz,41.111.128.0/17,isp,213,Algiers,AF,Africa,DZ,Algeria,False,36.7631,3.0506,16015,Algiers,16,False,False,False,False,False,False,False,200
2020-09-06 17:42:35.418,actions,519,NOTICE,sshd,Ban,41.111.135.199,AS36947,Telecom Algeria,algerietelecom.dz,41.111.128.0/17,isp,213,Algiers,AF,Africa,DZ,Algeria,False,36.7631,3.0506,16015,Algiers,16,False,False,False,False,False,False,False,200
