date,action,server_port,message,ssh,perform,ip,asn,network_provider,domain,route,type,calling_code,city,continent_code,continent,country_code,country,is_eu,latitude,longitude,postal,region,region_code,is_tor,is_proxy,is_anonymous,is_known_attacker,is_known_abuser,is_threat,is_bogon,status
2020-09-06 00:04:08.075,actions,519,NOTICE,sshd,Unban,82.64.32.76,AS12322,Free SAS,sas.com,82.64.0.0/14,isp,33,Paris,EU,Europe,FR,France,True,48.8637,2.2769,75116,Île-de-France,IDF,False,False,False,False,False,False,False,200
2020-09-06 00:04:38.197,actions,519,NOTICE,sshd,Unban,79.23.21.73,AS3269,Telecom Italia S.p.A.,tim.it,79.22.0.0/15,isp,39,Monreale,EU,Europe,IT,Italy,True,38.0812,13.2895,90046,Sicily,82,False,False,False,False,False,False,False,200
2020-09-06 00:06:36.570,actions,519,NOTICE,sshd,Unban,217.160.166.99,AS8560,1&1 Internet SE,1und1.de,217.160.0.0/16,hosting,49,None,EU,Europe,DE,Germany,True,51.2993,9.491,None,None,None,False,False,False,False,False,False,False,200
2020-09-06 00:23:21.089,filter,519,INFO,sshd,Found,217.160.166.99,AS8560,1&1 Internet SE,1und1.de,217.160.0.0/16,hosting,49,None,EU,Europe,DE,Germany,True,51.2993,9.491,None,None,None,False,False,False,False,False,False,False,200
2020-09-06 00:23:21.366,actions,519,NOTICE,sshd,Ban,217.160.166.99,AS8560,1&1 Internet SE,1und1.de,217.160.0.0/16,hosting,49,None,EU,Europe,DE,Germany,True,51.2993,9.491,None,None,None,False,False,False,False,False,False,False,200
2020-09-06 00:23:23.797,filter,519,INFO,sshd,Found,217.160.166.99,AS8560,1&1 Internet SE,1und1.de,217.160.0.0/16,hosting,49,None,EU,Europe,DE,Germany,True,51.2993,9.491,None,None,None,False,False,False,False,False,False,False,200
2020-09-06 01:07:11.983,filter,519,INFO,sshd,Found,185.132.53.194,AS24961,myLoc managed IT AG,myloc.de,185.132.53.0/24,hosting,49,None,EU,Europe,DE,Germany,True,51.2993,9.491,None,None,None,False,False,False,False,False,False,False,200
2020-09-06 01:07:12.652,actions,519,NOTICE,sshd,Ban,185.132.53.194,AS24961,myLoc managed IT AG,myloc.de,185.132.53.0/24,hosting,49,None,EU,Europe,DE,Germany,True,51.2993,9.491,None,None,None,False,False,False,False,False,False,False,200
2020-09-06 01:07:14.704,filter,519,INFO,sshd,Found,185.132.53.194,AS24961,myLoc managed IT AG,myloc.de,185.132.53.0/24,hosting,49,None,EU,Europe,DE,Germany,True,51.2993,9.491,None,None,None,False,False,False,False,False,False,False,200
2020-09-06 01:07:14.885,actions,519,NOTICE,sshd,already banned,185.132.53.194,AS24961,myLoc managed IT AG,myloc.de,185.132.53.0/24,hosting,49,None,EU,Europe,DE,Germany,True,51.2993,9.491,None,None,None,False,False,False,False,False,False,False,200
