city,postal,region,region_code,country
None,None,None,None,124
None,None,None,None,124
None,None,None,None,124
None,None,None,None,165
Gyeongju,38154,Gyeongsangbuk-do,47,125
Gyeongju,38154,Gyeongsangbuk-do,47,125
Gyeongju,38154,Gyeongsangbuk-do,47,125
Gyeongju,38154,Gyeongsangbuk-do,47,125
Paris,75116,Île-de-France,IDF,175
Monreale,90046,Sicily,82,176
Shanghai,None,Shanghai,SH,124
None,None,None,None,124
None,None,None,None,124
None,None,None,None,124
None,None,None,None,124
None,None,None,None,177
None,None,None,None,124
None,None,None,None,124
None,None,None,None,124
None,None,None,None,124
None,None,None,None,124
None,None,None,None,124
None,None,None,None,124
Chengdu,None,Sichuan,SC,124
Chengdu,None,Sichuan,SC,124
Chengdu,None,Sichuan,SC,124
None,None,None,None,124
None,None,None,None,124
None,None,None,None,124
Shanghai,None,Shanghai,SH,124
Shanghai,None,Shanghai,SH,124
Shanghai,None,Shanghai,SH,124
Shanghai,None,Shanghai,SH,124
None,None,None,None,177
None,None,None,None,177
None,None,None,None,177
Shanghai,None,Shanghai,SH,124
Xinpu,None,Jiangsu,JS,124
Xinpu,None,Jiangsu,JS,124
Xinpu,None,Jiangsu,JS,124
Xinpu,None,Jiangsu,JS,124
Shanghai,None,Shanghai,SH,124
Xinpu,None,Jiangsu,JS,124
Shanghai,None,Shanghai,SH,124
Shanghai,None,Shanghai,SH,124
Shanghai,None,Shanghai,SH,124
Xinpu,None,Jiangsu,JS,124
None,None,None,None,124
Toronto,M5A,Ontario,ON,210
Seoul,2878,Seoul,11,125
Seoul,2878,Seoul,11,125
Seoul,2878,Seoul,11,125
Xinpu,None,Jiangsu,JS,124
Xinpu,None,Jiangsu,JS,124
Xinpu,None,Jiangsu,JS,124
None,None,None,None,124
None,None,None,None,124
None,None,None,None,124
Makati City,1214,Metro Manila,0,126
Makati City,1214,Metro Manila,0,126
Makati City,1214,Metro Manila,0,126
Xinpu,None,Jiangsu,JS,124
Xinpu,None,Jiangsu,JS,124
Xinpu,None,Jiangsu,JS,124
None,None,None,None,124
Kaohsiung City,None,Kaohsiung,KHH,127
Kaohsiung City,None,Kaohsiung,KHH,127
Kaohsiung City,None,Kaohsiung,KHH,127
Kaohsiung City,None,Kaohsiung,KHH,127
None,None,None,None,124
Chennai,600004,Tamil Nadu,TN,128
Woodbridge,22193,Virginia,VA,211
None,None,None,None,177
None,None,None,None,177
None,None,None,None,177
None,None,None,None,177
None,None,None,None,124
None,None,None,None,124
None,None,None,None,124
None,None,None,None,212
Xinpu,None,Jiangsu,JS,124
Tokyo,102-0082,Tokyo,13,129
Tokyo,102-0082,Tokyo,13,129
Xinpu,None,Jiangsu,JS,124
Chennai,600001,Tamil Nadu,TN,128
Chennai,600001,Tamil Nadu,TN,128
Chennai,600001,Tamil Nadu,TN,128
Qingdao,None,Shandong,SD,124
Qingdao,None,Shandong,SD,124
Qingdao,None,Shandong,SD,124
Qingdao,None,Shandong,SD,124
Shanghai,None,Shanghai,SH,124
Shanghai,None,Shanghai,SH,124
Shanghai,None,Shanghai,SH,124
None,None,None,None,124
None,None,None,None,124
None,None,None,None,124
None,None,None,None,124
None,None,None,None,124
None,None,None,None,124
None,None,None,None,124
Kluczewsko,29-120,Świętokrzyskie,26,178
Kluczewsko,29-120,Świętokrzyskie,26,178
Kluczewsko,29-120,Świętokrzyskie,26,178
Shanghai,None,Shanghai,SH,124
None,None,None,None,124
None,None,None,None,124
None,None,None,None,124
Shanghai,None,Shanghai,SH,124
None,None,None,None,211
None,None,Quebec,QC,210
Xinpu,None,Jiangsu,JS,124
None,None,None,None,124
None,None,None,None,124
None,None,None,None,124
None,62,None,None,130
None,None,None,None,175
