latitude,longitude,country
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
-1.9998,-77.4966,165
35.8428,129.2117,125
35.8428,129.2117,125
35.8428,129.2117,125
35.8428,129.2117,125
48.8637,2.2769,175
38.0812,13.2895,176
31.0449,121.4012,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
51.2993,9.491,177
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
30.6667,104.0667,124
30.6667,104.0667,124
30.6667,104.0667,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
31.0449,121.4012,124
31.0449,121.4012,124
31.0449,121.4012,124
31.0449,121.4012,124
51.2993,9.491,177
51.2993,9.491,177
51.2993,9.491,177
31.0449,121.4012,124
34.5997,119.1594,124
34.5997,119.1594,124
34.5997,119.1594,124
34.5997,119.1594,124
31.0449,121.4012,124
34.5997,119.1594,124
31.0449,121.4012,124
31.0449,121.4012,124
31.0449,121.4012,124
34.5997,119.1594,124
34.7725,113.7266,124
43.6547,-79.3623,210
37.5985,126.9783,125
37.5985,126.9783,125
37.5985,126.9783,125
34.5997,119.1594,124
34.5997,119.1594,124
34.5997,119.1594,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
14.5501,121.036,126
14.5501,121.036,126
14.5501,121.036,126
34.5997,119.1594,124
34.5997,119.1594,124
34.5997,119.1594,124
34.7725,113.7266,124
22.6148,120.3139,127
22.6148,120.3139,127
22.6148,120.3139,127
22.6148,120.3139,127
34.7725,113.7266,124
13.0878,80.2785,128
38.6438,-77.3451,211
51.2993,9.491,177
51.2993,9.491,177
51.2993,9.491,177
51.2993,9.491,177
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
9.0,-80.0,212
34.5997,119.1594,124
35.685,139.7514,129
35.685,139.7514,129
34.5997,119.1594,124
13.0878,80.2785,128
13.0878,80.2785,128
13.0878,80.2785,128
36.0986,120.3719,124
36.0986,120.3719,124
36.0986,120.3719,124
36.0986,120.3719,124
31.0449,121.4012,124
31.0449,121.4012,124
31.0449,121.4012,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
50.925,19.9156,178
50.925,19.9156,178
50.925,19.9156,178
31.0449,121.4012,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
31.0449,121.4012,124
37.751,-97.822,211
45.4995,-73.5848,210
34.5997,119.1594,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
1.314,103.6839,130
48.8582,2.3387,175
31.0449,121.4012,124
34.5997,119.1594,124
34.5997,119.1594,124
34.5997,119.1594,124
-23.627,-46.635,166
40.8364,-74.1403,211
34.5997,119.1594,124
34.5997,119.1594,124
34.5997,119.1594,124
50.4522,30.5287,179
50.4522,30.5287,179
50.4522,30.5287,179
34.7725,113.7266,124
50.4522,30.5287,179
48.8582,2.3387,175
31.0449,121.4012,124
31.0449,121.4012,124
31.0449,121.4012,124
31.0449,121.4012,124
29.5569,106.5531,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
10.515999999999998,76.2157,128
34.7725,113.7266,124
31.0449,121.4012,124
34.7725,113.7266,124
34.5997,119.1594,124
34.5997,119.1594,124
34.5997,119.1594,124
34.7725,113.7266,124
32.6333,-16.9,180
31.0449,121.4012,124
56.0,24.0,181
56.0,24.0,181
56.0,24.0,181
56.0,24.0,181
56.0,24.0,181
56.0,24.0,181
1.314,103.6839,130
1.2929,103.8547,130
34.7725,113.7266,124
43.2284,-79.9071,210
48.8582,2.3387,175
36.6092,127.2919,125
28.6327,77.2198,128
31.0449,121.4012,124
31.0449,121.4012,124
31.0449,121.4012,124
52.3006,4.9479,182
-29.0,24.0,221
4.4389,-75.2322,167
53.7032,-1.7843,183
50.1188,8.6843,177
51.9934,4.2158,182
41.1561,1.1069,184
-33.4513,-70.6653,168
51.5177,-0.6215,183
3.4372,-76.5225,167
12.9719,77.5937,128
7.0202,100.4718,131
34.7725,113.7266,124
48.8582,2.3387,175
48.8582,2.3387,175
1.314,103.6839,130
-6.175,106.8286,132
13.7442,100.4608,131
-4.6160000000000005,55.4461,222
31.0449,121.4012,124
48.8582,2.3387,175
-27.1134,-48.9039,166
48.8582,2.3387,175
48.8582,2.3387,175
34.7725,113.7266,124
51.5177,-0.6215,183
51.5177,-0.6215,183
51.5177,-0.6215,183
34.5997,119.1594,124
-6.2352,106.9922,132
34.5997,119.1594,124
34.5997,119.1594,124
34.5997,119.1594,124
41.8483,-87.6517,211
32.926,-96.9666,211
7.5611,99.5417,131
34.7725,113.7266,124
48.8582,2.3387,175
51.4964,-0.1224,183
51.9934,4.2158,182
34.5997,119.1594,124
34.5997,119.1594,124
34.5997,119.1594,124
37.4951,127.0628,125
31.0449,121.4012,124
34.5997,119.1594,124
34.5997,119.1594,124
34.5997,119.1594,124
34.5997,119.1594,124
34.7725,113.7266,124
37.751,-97.822,211
-37.8061,145.0015,250
34.5997,119.1594,124
34.5997,119.1594,124
34.5997,119.1594,124
34.7725,113.7266,124
50.1188,8.6843,177
52.3759,4.8975,182
52.3759,4.8975,182
52.3759,4.8975,182
34.5997,119.1594,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
32.0617,118.7778,124
34.7725,113.7266,124
48.8582,2.3387,175
48.8582,2.3387,175
48.8582,2.3387,175
48.8582,2.3387,175
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
31.0449,121.4012,124
31.0449,121.4012,124
31.0449,121.4012,124
31.0449,121.4012,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
34.5997,119.1594,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
34.7725,113.7266,124
