latitude,longitude,country
34.7725,113.7266,124
-1.9998,-77.4966,165
35.8428,129.2117,125
48.8637,2.2769,175
38.0812,13.2895,176
31.0449,121.4012,124
51.2993,9.491,177
30.6667,104.0667,124
34.5997,119.1594,124
43.6547,-79.3623,210
37.5985,126.9783,125
14.5501,121.036,126
22.6148,120.3139,127
13.0878,80.2785,128
38.6438,-77.3451,211
9.0,-80.0,212
35.685,139.7514,129
36.0986,120.3719,124
50.925,19.9156,178
37.751,-97.822,211
45.4995,-73.5848,210
1.314,103.6839,130
48.8582,2.3387,175
-23.627,-46.635,166
40.8364,-74.1403,211
50.4522,30.5287,179
29.5569,106.5531,124
10.515999999999998,76.2157,128
32.6333,-16.9,180
56.0,24.0,181
1.2929,103.8547,130
43.2284,-79.9071,210
36.6092,127.2919,125
28.6327,77.2198,128
52.3006,4.9479,182
-29.0,24.0,221
4.4389,-75.2322,167
53.7032,-1.7843,183
50.1188,8.6843,177
51.9934,4.2158,182
41.1561,1.1069,184
-33.4513,-70.6653,168
51.5177,-0.6215,183
3.4372,-76.5225,167
12.9719,77.5937,128
7.0202,100.4718,131
-6.175,106.8286,132
13.7442,100.4608,131
-4.6160000000000005,55.4461,222
-27.1134,-48.9039,166
-6.2352,106.9922,132
41.8483,-87.6517,211
32.926,-96.9666,211
7.5611,99.5417,131
51.4964,-0.1224,183
37.4951,127.0628,125
-37.8061,145.0015,250
52.3759,4.8975,182
32.0617,118.7778,124
1.3667,103.8,130
31.8642,117.2865,124
55.0411,82.9344,185
34.0485,-118.2529,211
21.0966,105.96799999999999,133
22.2795,114.146,134
45.9968,24.997,186
34.2598,108.9294,124
42.8803,47.6383,185
-24.6437,25.9112,223
48.85,2.5,175
45.3161,-73.8736,210
40.4167,-3.6838,184
21.1463,79.0849,128
14.5611,-90.7344,213
40.793,-74.0247,211
33.4413,-112.0421,211
-34.7153,-58.4078,169
37.5112,126.9741,125
53.36,83.76,185
51.4805,-0.0113,183
51.6906,5.2755,182
52.2394,21.0362,178
33.4532,-112.0748,211
37.3387,-121.8914,211
52.3812,4.6361,182
59.3247,18.055999999999997,187
47.394,8.445,188
36.1685,-115.1164,211
10.8142,106.6438,133
49.982,36.2566,179
40.4165,-3.7026,184
23.1167,113.25,124
29.3099,30.8418,224
45.7077,-73.6147,210
19.4414,-98.9336,214
1.2868,103.8504,130
22.5333,114.1333,124
21.3528,74.8823,128
23.0308,113.7174,124
-1.95,-79.7333,165
52.352,4.9392,182
13.0,-2.0,225
50.6337,5.5675,189
-7.0523,112.995,132
55.7522,37.6156,185
39.9288,116.3889,124
-20.1082,-40.3019,166
30.5856,114.2665,124
25.0478,121.5318,127
-19.8195,-40.191,166
-22.2635,-49.1364,166
45.3253,14.4409,190
43.1479,12.1097,176
45.4675,16.3868,190
30.322,78.03,128
16.0,106.0,133
40.7308,-73.9975,211
22.2833,114.1833,134
32.9321,-97.2834,211
30.294,120.1619,124
