asn,network_provider,domain,route,type,country
AS4847,China Networks Inter-Exchange,None,118.244.192.0/19,isp,124
AS19114,Otecel S.A.,telefonica.com,200.7.208.0/20,isp,165
AS9318,None,None,175.112.0.0/13,isp,125
AS12322,Free SAS,sas.com,82.64.0.0/14,isp,175
AS3269,Telecom Italia S.p.A.,tim.it,79.22.0.0/15,isp,176
AS23650,AS Number for CHINANET jiangsu province backbone,None,222.186.175.0/24,isp,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,49.235.128.0/20,isp,124
AS23650,AS Number for CHINANET jiangsu province backbone,None,222.186.180.0/24,isp,124
AS8560,1&1 Internet SE,1und1.de,217.160.0.0/16,hosting,177
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,106.52.0.0/20,hosting,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,212.129.224.0/19,isp,124
AS4134,Jin-rong Street,None,117.32.0.0/13,isp,124
AS9808,Guangdong Mobile Communication Co.Ltd.,chinamobile.com,117.173.0.0/16,isp,124
AS4812,China Telecom (Group),chinatelecom-h.com,114.67.64.0/18,isp,124
AS4134,Jin-rong Street,None,61.177.0.0/16,isp,124
AS4134,Jin-rong Street,None,218.92.0.0/16,isp,124
AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,112.80.0.0/13,isp,124
AS14061,DigitalOcean,digitalocean.com,165.227.32.0/20,hosting,210
AS8075,Microsoft Corporation,microsoft.com,20.36.0.0/14,hosting,125
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,119.29.230.0/23,isp,124
AS17639,Converge ICT Solutions Inc.,convergeict.com,121.58.212.0/24,isp,126
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,106.13.64.0/19,hosting,124
AS9416,Hoshin Multimedia Center Inc.,kbtelecom.net,203.204.128.0/17,isp,127
AS23650,AS Number for CHINANET jiangsu province backbone,None,222.186.173.0/24,isp,124
AS24560,Bharti Airtel Telemedia Services,airtel.in,122.165.148.0/22,isp,128
AS7922,Comcast Cable Communications,comcast.com,69.240.0.0/12,isp,211
AS24961,myLoc managed IT AG,myloc.de,185.132.53.0/24,hosting,177
AS23650,AS Number for CHINANET jiangsu province backbone,None,222.186.169.0/24,isp,124
AS43350,NForce Entertainment B.V.,nforce.com,45.227.255.0/24,hosting,212
AS63949,Linode,linode.com,139.162.96.0/19,hosting,129
AS8075,Microsoft Corporation,microsoft.com,104.208.0.0/13,hosting,128
AS4134,Jin-rong Street,None,58.56.0.0/15,isp,124
AS4134,Jin-rong Street,None,218.2.0.0/16,isp,124
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,106.13.192.0/18,hosting,124
AS57608,DG-NET SA,dg-net.pl,185.238.120.0/22,isp,178
AS134774,CHINANET Guangdong province Shenzhen MAN network,None,183.62.136.0/21,isp,124
 None, None, None, None, None,211
 None, None, None, None, None,210
AS14061,DigitalOcean,digitalocean.com,167.71.192.0/20,hosting,130
AS16276,OVH SAS,ovh.com,5.135.0.0/16,hosting,175
AS27699,TELEFONICA BRASIL S.A,telefonica.com.br,201.42.0.0/15,isp,166
AS14061,DigitalOcean,digitalocean.com,104.236.192.0/18,hosting,211
AS6702,Science Production Company Trifle Ltd.,apex.dp.ua,195.24.128.0/19,isp,179
AS16276,OVH SAS,ovh.com,51.91.0.0/16,hosting,175
AS4134,Jin-rong Street,None,113.248.0.0/14,isp,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,132.232.64.0/20,hosting,124
AS58969,Kerala Communicators Cable Limited,kccl.tv,103.199.160.0/22,isp,128
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,49.232.96.0/20,isp,124
AS4134,Jin-rong Street,None,106.124.0.0/16,isp,124
AS3243,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,meo.pt,85.240.0.0/13,isp,180
AS209605,UAB Host Baltic,serveroffer.net,141.98.10.0/24,isp,181
AS14061,DigitalOcean,digitalocean.com,128.199.192.0/18,hosting,130
AS26496,GoDaddy.com,godaddy.com,208.109.0.0/16,hosting,130
AS812,Rogers Communications Canada Inc.,rogers.com,72.143.0.0/18,isp,210
AS16276,OVH SAS,ovh.com,213.32.0.0/17,hosting,175
AS17853,None,None,223.171.0.0/16,isp,125
AS24560,Bharti Airtel Telemedia Services,airtel.in,122.160.233.0/24,isp,128
AS14061,DigitalOcean,digitalocean.com,5.101.104.0/22,hosting,182
AS132839,POWER LINE DATACENTER,powerline.hk,160.124.32.0/19,hosting,221
AS10620,Telmex Colombia S.A.,telmexla.net.co,190.146.54.0/24,isp,167
AS34934,UKFAST.NET LIMITED,ukfast.co.uk,46.37.160.0/19,hosting,183
AS14061,DigitalOcean,digitalocean.com,142.93.96.0/20,hosting,177
AS49981,WorldStream B.V.,worldstream.nl,103.136.40.0/23,hosting,182
AS201109,LLEIDA WIFI NETWORKS SL,nxt-telecom.com,146.66.244.0/24,isp,184
AS6429,Telmex Chile Internet S.A.,telmexchile.cl,200.27.192.0/19,isp,168
AS14061,DigitalOcean,digitalocean.com,209.97.128.0/20,hosting,183
AS10620,Telmex Colombia S.A.,telmexla.net.co,181.53.251.0/24,isp,167
AS14061,DigitalOcean,digitalocean.com,159.89.160.0/20,hosting,128
AS9931,The Communication Authoity of Thailand,cattelecom.com,61.19.202.0/24,isp,131
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,129.204.160.0/19,hosting,124
AS16276,OVH SAS,ovh.com,149.202.0.0/16,hosting,175
AS16276,OVH SAS,ovh.com,51.38.0.0/16,hosting,175
AS14061,DigitalOcean,digitalocean.com,128.199.128.0/18,hosting,130
AS4800,Network Access Provider and, wikipedia.org,125.213.128.0/24,isp,132
AS9335,CAT Telecom Public Company Limited,cattelecom.com,122.155.160.0/19,hosting,131
AS57858,Inter Connects Inc,interconnects.us,165.231.13.0/24,isp,222
AS16276,OVH SAS,ovh.com,37.187.0.0/16,hosting,175
AS52693,Conectel Telecomunicacoes e Informatica Ltda ME,unifique.com.br,177.73.136.0/22,isp,166
AS12876,ONLINE S.A.S.,online.net,51.15.0.0/16,hosting,175
AS16276,OVH SAS,ovh.com,178.32.0.0/15,hosting,175
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,148.70.80.0/20,isp,124
AS14061,DigitalOcean,digitalocean.com,178.62.0.0/18,hosting,183
AS7713,PT Telekomunikasi Indonesia,telkom.co.id,180.251.176.0/20,isp,132
AS8075,Microsoft Corporation,microsoft.com,157.55.0.0/16,hosting,211
AS11427,Charter Communications Inc,spectrum.com,72.129.160.0/19,isp,211
AS45575,Rajamangala University of Technology Srivijaya,rmutsv.ac.th,203.158.177.0/24,edu,131
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,111.230.180.0/23,hosting,124
AS16276,OVH SAS,ovh.com,51.68.0.0/16,hosting,175
 None, None, None, None, None,183
AS3786,LG DACOM Corporation,uplus.co.kr,112.216.0.0/13,isp,125
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,140.143.248.0/22,hosting,124
AS4739,Internode Pty Ltd,on.net,203.206.205.0/24,isp,250
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,106.12.32.0/23,hosting,124
AS14061,DigitalOcean,digitalocean.com,46.101.128.0/17,hosting,177
AS8075,Microsoft Corporation,microsoft.com,52.224.0.0/11,hosting,182
AS4134,Jin-rong Street,None,223.240.0.0/13,isp,124
AS16276,OVH SAS,ovh.com,145.239.0.0/16,hosting,175
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,49.233.144.0/20,isp,124
AS59019,Beijing Kingsoft Cloud Internet Technology ,cnnic.cn,120.131.2.0/23,hosting,124
AS23650,AS Number for CHINANET jiangsu province backbone,None,222.186.190.0/24,hosting,124
AS45102,Alibaba (US) Technology Co.,alibabagroup.com,149.129.224.0/19,hosting,130
AS4134,Jin-rong Street,None,182.144.0.0/13,isp,124
AS4134,Jin-rong Street,None,183.160.0.0/13,isp,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,134.175.0.0/16,hosting,124
AS34757,Sibirskie Seti Ltd.,sibset.ru,89.189.176.0/20,isp,185
AS25820,IT7 Networks Inc,it7.net,65.49.192.0/20,hosting,211
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,49.232.144.0/20,isp,124
AS7552,Viettel Group,viettel.com.vn,171.244.136.0/21,isp,133
 None, None, None, None, None,124
AS14061,DigitalOcean,digitalocean.com,167.71.208.0/20,hosting,130
AS4766,Korea Telecom,kt.com,175.192.0.0/13,isp,125
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,49.235.96.0/20,isp,124
AS9808,Guangdong Mobile Communication Co.Ltd.,chinamobile.com,221.130.128.0/21,isp,124
AS4760,HKT Limited,hkt.com,223.197.192.0/19,isp,134
AS50094,FULLSHOP SRL,fullshop.ro,93.115.1.0/24,isp,186
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,188.131.176.0/20,hosting,124
AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,113.200.0.0/15,isp,124
AS42922,KaspNet Ltd.,kaspnet.ru,193.33.240.0/24,isp,185
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,119.45.112.0/20,isp,124
AS16637,MTN SA,mtn.co.za,213.193.40.0/21,hosting,223
