is_anonymous,is_known_attacker,is_known_abuser,is_threat,is_bogon,country,is_tor,is_proxy
False,False,False,False,False,124,False,False
False,False,False,False,False,165,False,False
False,False,False,False,False,125,False,False
False,False,False,False,False,175,False,False
False,False,False,False,False,176,False,False
False,False,False,False,False,177,False,False
False,False,False,False,False,210,False,False
False,False,False,False,False,126,False,False
False,False,False,False,False,127,False,False
False,False,False,False,False,128,False,False
False,False,False,False,False,211,False,False
False,False,True,False,False,212,False,False
False,False,False,False,False,129,False,False
False,False,False,False,False,178,False,False
False,False,False,False,False,130,False,False
False,False,False,False,False,166,False,False
False,False,False,False,False,179,False,False
False,False,False,False,False,180,False,False
False,False,False,False,False,181,False,False
False,False,False,False,False,182,False,False
False,False,False,False,False,221,False,False
False,False,False,False,False,167,False,False
False,False,False,False,False,183,False,False
False,False,False,False,False,184,False,False
False,False,False,False,False,168,False,False
False,False,False,False,False,131,False,False
False,False,False,False,False,132,False,False
False,False,False,False,False,222,False,False
False,False,True,False,False,183,False,False
False,False,False,False,False,250,False,False
False,False,False,False,False,185,False,False
False,False,False,False,False,133,False,False
False,False,False,False,False,134,False,False
False,False,False,False,False,186,False,False
False,False,False,False,False,223,False,False
False,False,False,False,False,213,False,False
False,False,False,False,False,169,False,False
False,False,False,True,False,183,False,False
False,True,False,True,False,177,True,False
False,True,False,True,False,182,True,False
False,False,False,True,False,178,False,False
False,True,False,True,False,211,True,False
False,False,False,True,False,175,False,False
False,True,False,True,False,175,True,False
False,True,False,True,False,187,True,False
False,True,False,True,False,188,True,False
False,True,False,True,False,179,True,False
False,False,False,True,False,184,False,False
False,False,False,False,False,224,False,False
False,False,False,False,False,214,False,False
False,False,False,False,False,225,False,False
False,False,False,False,False,189,False,False
False,False,False,False,False,190,False,False
False,False,False,False,False,191,False,False
False,False,False,False,False,226,False,False
False,False,False,False,False,135,False,False
False,False,False,False,False,215,False,False
False,False,False,False,False,227,False,False
False,False,False,False,False,136,False,False
False,False,False,False,False,228,False,False
False,False,False,False,False,192,False,False
False,False,False,False,False,187,False,False
False,False,False,False,False,137,False,False
False,False,False,False,False,212,False,False
False,False,False,False,False,138,False,False
False,False,False,False,False,139,False,False
False,False,False,False,False,170,False,False
False,False,False,False,False,193,False,False
False,False,False,False,False,140,False,False
False,False,False,False,False,141,False,False
False,False,False,True,False,124,False,False
False,False,False,False,False,194,False,False
False,False,False,False,False,195,False,False
False,False,False,False,False,229,False,False
False,False,False,True,False,186,False,False
False,True,False,True,False,194,True,False
False,False,False,True,False,211,False,False
False,True,False,True,False,196,True,False
False,True,False,True,False,210,True,False
False,True,False,True,False,186,True,False
False,False,False,False,False,142,False,False
False,False,False,False,False,171,False,False
False,False,False,False,False,172,False,False
False,False,False,False,False,197,False,False
False,False,False,False,False,143,False,False
False,False,False,False,False,230,False,False
False,True,False,True,False,178,True,False
False,False,False,False,False,144,False,False
False,False,False,False,False,216,False,False
False,False,False,False,False,145,False,False
False,False,False,False,False,146,False,False
False,False,False,False,False,173,False,False
False,False,False,False,False,198,False,False
False,False,False,False,False,199,False,False
False,False,False,False,False,231,False,False
False,False,False,False,False,147,False,False
False,True,False,True,False,200,True,False
False,True,False,True,False,128,True,False
False,False,False,True,False,134,False,False
False,False,False,False,False,201,False,False
False,False,False,False,False,202,False,False
False,False,True,False,False,124,False,False
False,False,False,False,False,148,False,False
False,False,False,False,False,149,False,False
False,False,False,True,False,179,False,False
False,False,False,False,False,200,False,False
False,False,False,False,False,217,False,False
False,False,False,False,False,218,False,False
False,False,False,False,False,188,False,False
False,False,False,False,False,219,False,False
False,False,False,False,False,232,False,False
False,False,False,False,False,174,False,False
False,False,False,False,False,233,False,False
False,False,False,False,False,234,False,False
False,False,False,False,False,150,False,False
False,False,False,False,False,151,False,False
False,False,False,False,False,152,False,False
False,False,False,False,False,251,False,False
False,False,False,False,False,203,False,False
False,False,False,False,False,196,False,False
False,False,False,False,False,204,False,False
False,False,False,False,False,153,False,False
False,False,False,False,False,235,False,False
False,False,False,False,False,154,False,False
False,False,False,False,False,155,False,False
False,False,False,False,False,236,False,False
False,False,False,False,False,156,False,False
False,False,False,False,False,157,False,False
False,False,False,False,False,237,False,False
False,False,False,True,False,187,False,False
False,False,False,False,False,238,False,False
False,False,False,False,False,205,False,False
False,False,False,False,False,239,False,False
False,False,False,False,False,240,False,False
False,False,False,False,False,206,False,False
False,False,True,False,False,211,False,False
False,False,False,False,False,241,False,False
False,False,False,False,False,158,False,False
False,False,False,False,False,242,False,False
False,False,False,False,False,159,False,False
False,False,False,False,False,243,False,False
False,False,False,False,False,244,False,False
False,False,False,False,False,207,False,False
False,False,False,False,False,160,False,False
False,False,False,False,False,245,False,False
False,False,False,False,False,220,False,False
False,False,False,False,False,252,False,False
False,False,False,True,False,133,False,False
False,False,False,False,False,208,False,False
False,False,False,True,False,130,False,False
False,False,False,False,False,161,False,False
False,False,False,True,False,185,False,False
False,False,False,True,False,132,False,False
False,False,False,True,False,167,False,False
False,False,False,False,False,246,False,False
False,False,False,False,False,247,False,False
False,False,False,False,False,248,False,False
False,False,False,False,False,209,False,False
False,False,False,False,False,162,False,False
False,False,False,False,False,249,False,False
False,False,False,False,False,163,False,False
False,False,False,False,False,164,False,False
