2020-09-06 02:07:35.613,actions,519,NOTICE,sshd,Unban,146.66.244.246,AS201109,LLEIDA WIFI NETWORKS SL,nxt-telecom.com,146.66.244.0/24,isp,34,Reus,EU,Europe,ES,Spain,True,41.1561,1.1069,43206,Catalonia,CT,False,False,False,False,False,False,False,200
2020-09-06 05:07:42.027,filter,519,INFO,sshd,Found,217.111.239.37,AS8220,COLT Technology Services Group Limited,colt.net,217.110.0.0/15,isp,34,Madrid,EU,Europe,ES,Spain,True,40.4167,-3.6838,28001,Madrid,MD,False,False,False,False,False,False,False,200
2020-09-06 05:07:42.252,actions,519,NOTICE,sshd,Ban,217.111.239.37,AS8220,COLT Technology Services Group Limited,colt.net,217.110.0.0/15,isp,34,Madrid,EU,Europe,ES,Spain,True,40.4167,-3.6838,28001,Madrid,MD,False,False,False,False,False,False,False,200
2020-09-06 05:07:43.997,filter,519,INFO,sshd,Found,217.111.239.37,AS8220,COLT Technology Services Group Limited,colt.net,217.110.0.0/15,isp,34,Madrid,EU,Europe,ES,Spain,True,40.4167,-3.6838,28001,Madrid,MD,False,False,False,False,False,False,False,200
2020-09-06 06:40:31.337,filter,519,INFO,sshd,Found,195.206.107.147,AS9009,M247 Ltd,m247.com,195.206.107.0/24,hosting,34,Madrid,EU,Europe,ES,Spain,True,40.4165,-3.7026,28037,Madrid,MD,False,False,False,False,False,True,False,200
2020-09-06 06:40:31.611,actions,519,NOTICE,sshd,Ban,195.206.107.147,AS9009,M247 Ltd,m247.com,195.206.107.0/24,hosting,34,Madrid,EU,Europe,ES,Spain,True,40.4165,-3.7026,28037,Madrid,MD,False,False,False,False,False,True,False,200
2020-09-06 06:40:34.048,filter,519,INFO,sshd,Found,195.206.107.147,AS9009,M247 Ltd,m247.com,195.206.107.0/24,hosting,34,Madrid,EU,Europe,ES,Spain,True,40.4165,-3.7026,28037,Madrid,MD,False,False,False,False,False,True,False,200
2020-09-06 08:07:43.449,actions,519,NOTICE,sshd,Unban,217.111.239.37,AS8220,COLT Technology Services Group Limited,colt.net,217.110.0.0/15,isp,34,Madrid,EU,Europe,ES,Spain,True,40.4167,-3.6838,28001,Madrid,MD,False,False,False,False,False,False,False,200
2020-09-06 09:40:34.755,actions,519,NOTICE,sshd,Unban,195.206.107.147,AS9009,M247 Ltd,m247.com,195.206.107.0/24,hosting,34,Madrid,EU,Europe,ES,Spain,True,40.4165,-3.7026,28037,Madrid,MD,False,False,False,False,False,True,False,200
2020-09-07 19:17:29.288,filter,519,INFO,sshd,Found,170.253.28.71,AS15704,XTRA TELECOM S.A.,masmovil.es,170.253.16.0/20,hosting,34,Palencia,EU,Europe,ES,Spain,True,42.0096,-4.5241,34003,Castille and León,CL,False,False,False,False,False,False,False,200
2020-09-07 19:17:29.294,filter,519,INFO,sshd,Found,170.253.28.71,AS15704,XTRA TELECOM S.A.,masmovil.es,170.253.16.0/20,hosting,34,Palencia,EU,Europe,ES,Spain,True,42.0096,-4.5241,34003,Castille and León,CL,False,False,False,False,False,False,False,200
2020-09-07 19:17:29.295,filter,519,INFO,sshd,Found,170.253.28.71,AS15704,XTRA TELECOM S.A.,masmovil.es,170.253.16.0/20,hosting,34,Palencia,EU,Europe,ES,Spain,True,42.0096,-4.5241,34003,Castille and León,CL,False,False,False,False,False,False,False,200
2020-09-07 19:17:29.354,filter,519,INFO,sshd,Found,170.253.28.71,AS15704,XTRA TELECOM S.A.,masmovil.es,170.253.16.0/20,hosting,34,Palencia,EU,Europe,ES,Spain,True,42.0096,-4.5241,34003,Castille and León,CL,False,False,False,False,False,False,False,200
2020-09-07 19:17:29.873,actions,519,NOTICE,sshd,Ban,170.253.28.71,AS15704,XTRA TELECOM S.A.,masmovil.es,170.253.16.0/20,hosting,34,Palencia,EU,Europe,ES,Spain,True,42.0096,-4.5241,34003,Castille and León,CL,False,False,False,False,False,False,False,200
2020-09-07 19:17:32.071,filter,519,INFO,sshd,Found,170.253.28.71,AS15704,XTRA TELECOM S.A.,masmovil.es,170.253.16.0/20,hosting,34,Palencia,EU,Europe,ES,Spain,True,42.0096,-4.5241,34003,Castille and León,CL,False,False,False,False,False,False,False,200
2020-09-07 19:17:32.073,filter,519,INFO,sshd,Found,170.253.28.71,AS15704,XTRA TELECOM S.A.,masmovil.es,170.253.16.0/20,hosting,34,Palencia,EU,Europe,ES,Spain,True,42.0096,-4.5241,34003,Castille and León,CL,False,False,False,False,False,False,False,200
2020-09-07 22:17:32.701,actions,519,NOTICE,sshd,Unban,170.253.28.71,AS15704,XTRA TELECOM S.A.,masmovil.es,170.253.16.0/20,hosting,34,Palencia,EU,Europe,ES,Spain,True,42.0096,-4.5241,34003,Castille and León,CL,False,False,False,False,False,False,False,200
2020-09-09 04:45:15.042,filter,519,INFO,sshd,Found,85.51.12.244,AS12479,Orange Espagne SA,orange.es,85.48.0.0/12,isp,34,Torrejón de Ardoz,EU,Europe,ES,Spain,True,40.4586,-3.4719,28850,Madrid,MD,False,False,False,False,False,False,False,200
2020-09-09 04:45:15.341,actions,519,NOTICE,sshd,Ban,85.51.12.244,AS12479,Orange Espagne SA,orange.es,85.48.0.0/12,isp,34,Torrejón de Ardoz,EU,Europe,ES,Spain,True,40.4586,-3.4719,28850,Madrid,MD,False,False,False,False,False,False,False,200
2020-09-09 04:45:16.736,filter,519,INFO,sshd,Found,85.51.12.244,AS12479,Orange Espagne SA,orange.es,85.48.0.0/12,isp,34,Torrejón de Ardoz,EU,Europe,ES,Spain,True,40.4586,-3.4719,28850,Madrid,MD,False,False,False,False,False,False,False,200
2020-09-09 07:45:16.366,actions,519,NOTICE,sshd,Unban,85.51.12.244,AS12479,Orange Espagne SA,orange.es,85.48.0.0/12,isp,34,Torrejón de Ardoz,EU,Europe,ES,Spain,True,40.4586,-3.4719,28850,Madrid,MD,False,False,False,False,False,False,False,200
2020-09-09 10:54:18.402,filter,519,INFO,sshd,Found,83.48.89.147,AS3352,TELEFONICA DE ESPANA,telefonica.com,83.48.0.0/16,isp,34,Madrid,EU,Europe,ES,Spain,True,40.4165,-3.7026,28027,Madrid,MD,False,False,False,False,False,False,False,200
2020-09-09 10:54:18.755,actions,519,NOTICE,sshd,Ban,83.48.89.147,AS3352,TELEFONICA DE ESPANA,telefonica.com,83.48.0.0/16,isp,34,Madrid,EU,Europe,ES,Spain,True,40.4165,-3.7026,28027,Madrid,MD,False,False,False,False,False,False,False,200
2020-09-09 10:54:19.397,filter,519,INFO,sshd,Found,83.48.89.147,AS3352,TELEFONICA DE ESPANA,telefonica.com,83.48.0.0/16,isp,34,Madrid,EU,Europe,ES,Spain,True,40.4165,-3.7026,28027,Madrid,MD,False,False,False,False,False,False,False,200
2020-09-09 13:54:19.570,actions,519,NOTICE,sshd,Unban,83.48.89.147,AS3352,TELEFONICA DE ESPANA,telefonica.com,83.48.0.0/16,isp,34,Madrid,EU,Europe,ES,Spain,True,40.4165,-3.7026,28027,Madrid,MD,False,False,False,False,False,False,False,200
2020-09-10 13:24:40.280,filter,519,INFO,sshd,Found,185.171.10.96,AS206945,Robert Michael Span,sky-internet.es,185.171.8.0/22,isp,34,Chiclana de la Frontera,EU,Europe,ES,Spain,True,36.4234,-6.1517,11130,Andalusia,AN,False,False,False,False,False,False,False,200
2020-09-10 13:24:40.284,filter,519,INFO,sshd,Found,185.171.10.96,AS206945,Robert Michael Span,sky-internet.es,185.171.8.0/22,isp,34,Chiclana de la Frontera,EU,Europe,ES,Spain,True,36.4234,-6.1517,11130,Andalusia,AN,False,False,False,False,False,False,False,200
2020-09-10 13:24:40.857,actions,519,NOTICE,sshd,Ban,185.171.10.96,AS206945,Robert Michael Span,sky-internet.es,185.171.8.0/22,isp,34,Chiclana de la Frontera,EU,Europe,ES,Spain,True,36.4234,-6.1517,11130,Andalusia,AN,False,False,False,False,False,False,False,200
2020-09-10 13:24:41.942,filter,519,INFO,sshd,Found,185.171.10.96,AS206945,Robert Michael Span,sky-internet.es,185.171.8.0/22,isp,34,Chiclana de la Frontera,EU,Europe,ES,Spain,True,36.4234,-6.1517,11130,Andalusia,AN,False,False,False,False,False,False,False,200
2020-09-10 16:24:41.332,actions,519,NOTICE,sshd,Unban,185.171.10.96,AS206945,Robert Michael Span,sky-internet.es,185.171.8.0/22,isp,34,Chiclana de la Frontera,EU,Europe,ES,Spain,True,36.4234,-6.1517,11130,Andalusia,AN,False,False,False,False,False,False,False,200
2020-09-10 16:29:25.496,filter,519,INFO,sshd,Found,77.230.184.70,AS12430,VODAFONE ESPANA S.A.U.,vodafone.es,77.224.0.0/13,isp,34,Barcelona,EU,Europe,ES,Spain,True,41.3888,2.1590000000000003,8028,Catalonia,CT,False,False,False,False,False,False,False,200
2020-09-10 16:29:25.498,filter,519,INFO,sshd,Found,77.230.184.70,AS12430,VODAFONE ESPANA S.A.U.,vodafone.es,77.224.0.0/13,isp,34,Barcelona,EU,Europe,ES,Spain,True,41.3888,2.1590000000000003,8028,Catalonia,CT,False,False,False,False,False,False,False,200
2020-09-10 16:29:25.549,filter,519,INFO,sshd,Found,77.230.184.70,AS12430,VODAFONE ESPANA S.A.U.,vodafone.es,77.224.0.0/13,isp,34,Barcelona,EU,Europe,ES,Spain,True,41.3888,2.1590000000000003,8028,Catalonia,CT,False,False,False,False,False,False,False,200
2020-09-10 16:29:25.555,filter,519,INFO,sshd,Found,77.230.184.70,AS12430,VODAFONE ESPANA S.A.U.,vodafone.es,77.224.0.0/13,isp,34,Barcelona,EU,Europe,ES,Spain,True,41.3888,2.1590000000000003,8028,Catalonia,CT,False,False,False,False,False,False,False,200
2020-09-10 16:29:25.835,actions,519,NOTICE,sshd,Ban,77.230.184.70,AS12430,VODAFONE ESPANA S.A.U.,vodafone.es,77.224.0.0/13,isp,34,Barcelona,EU,Europe,ES,Spain,True,41.3888,2.1590000000000003,8028,Catalonia,CT,False,False,False,False,False,False,False,200
2020-09-10 16:29:27.653,filter,519,INFO,sshd,Found,77.230.184.70,AS12430,VODAFONE ESPANA S.A.U.,vodafone.es,77.224.0.0/13,isp,34,Barcelona,EU,Europe,ES,Spain,True,41.3888,2.1590000000000003,8028,Catalonia,CT,False,False,False,False,False,False,False,200
2020-09-10 16:29:27.657,filter,519,INFO,sshd,Found,77.230.184.70,AS12430,VODAFONE ESPANA S.A.U.,vodafone.es,77.224.0.0/13,isp,34,Barcelona,EU,Europe,ES,Spain,True,41.3888,2.1590000000000003,8028,Catalonia,CT,False,False,False,False,False,False,False,200
2020-09-10 19:20:06.311,filter,519,INFO,sshd,Found,212.225.132.103,AS34977,PROCONO S.A.,ptvtelecom.com,212.225.128.0/17,isp,34,Seville,EU,Europe,ES,Spain,True,37.3824,-5.9761,41008,Andalusia,AN,False,False,False,False,False,False,False,200
2020-09-10 19:20:06.970,actions,519,NOTICE,sshd,Ban,212.225.132.103,AS34977,PROCONO S.A.,ptvtelecom.com,212.225.128.0/17,isp,34,Seville,EU,Europe,ES,Spain,True,37.3824,-5.9761,41008,Andalusia,AN,False,False,False,False,False,False,False,200
2020-09-10 19:20:07.990,filter,519,INFO,sshd,Found,212.225.132.103,AS34977,PROCONO S.A.,ptvtelecom.com,212.225.128.0/17,isp,34,Seville,EU,Europe,ES,Spain,True,37.3824,-5.9761,41008,Andalusia,AN,False,False,False,False,False,False,False,200
2020-09-10 19:20:29.386,filter,519,INFO,sshd,Found,46.37.82.62,AS34977,PROCONO S.A.,ptvtelecom.com,46.37.64.0/19,isp,34,Cordova,EU,Europe,ES,Spain,True,37.8916,-4.7727,14010,Andalusia,AN,False,False,False,False,False,False,False,200
2020-09-10 19:20:29.387,actions,519,NOTICE,sshd,Ban,46.37.82.62,AS34977,PROCONO S.A.,ptvtelecom.com,46.37.64.0/19,isp,34,Cordova,EU,Europe,ES,Spain,True,37.8916,-4.7727,14010,Andalusia,AN,False,False,False,False,False,False,False,200
2020-09-10 19:20:31.221,filter,519,INFO,sshd,Found,46.37.82.62,AS34977,PROCONO S.A.,ptvtelecom.com,46.37.64.0/19,isp,34,Cordova,EU,Europe,ES,Spain,True,37.8916,-4.7727,14010,Andalusia,AN,False,False,False,False,False,False,False,200
2020-09-10 19:29:28.968,actions,519,NOTICE,sshd,Unban,77.230.184.70,AS12430,VODAFONE ESPANA S.A.U.,vodafone.es,77.224.0.0/13,isp,34,Barcelona,EU,Europe,ES,Spain,True,41.3888,2.1590000000000003,8028,Catalonia,CT,False,False,False,False,False,False,False,200
2020-09-10 22:20:08.871,actions,519,NOTICE,sshd,Unban,212.225.132.103,AS34977,PROCONO S.A.,ptvtelecom.com,212.225.128.0/17,isp,34,Seville,EU,Europe,ES,Spain,True,37.3824,-5.9761,41008,Andalusia,AN,False,False,False,False,False,False,False,200
2020-09-10 22:20:31.399,actions,519,NOTICE,sshd,Unban,46.37.82.62,AS34977,PROCONO S.A.,ptvtelecom.com,46.37.64.0/19,isp,34,Cordova,EU,Europe,ES,Spain,True,37.8916,-4.7727,14010,Andalusia,AN,False,False,False,False,False,False,False,200
2020-09-12 08:02:05.673,filter,519,INFO,sshd,Found,195.82.113.65,AS34977,PROCONO S.A.,ptvtelecom.com,195.82.112.0/21,isp,34,Madrid,EU,Europe,ES,Spain,True,40.4165,-3.7026,28053,Madrid,MD,False,False,False,False,False,False,False,200
2020-09-12 08:02:05.675,filter,519,INFO,sshd,Found,195.82.113.65,AS34977,PROCONO S.A.,ptvtelecom.com,195.82.112.0/21,isp,34,Madrid,EU,Europe,ES,Spain,True,40.4165,-3.7026,28053,Madrid,MD,False,False,False,False,False,False,False,200
2020-09-12 08:02:05.854,actions,519,NOTICE,sshd,Ban,195.82.113.65,AS34977,PROCONO S.A.,ptvtelecom.com,195.82.112.0/21,isp,34,Madrid,EU,Europe,ES,Spain,True,40.4165,-3.7026,28053,Madrid,MD,False,False,False,False,False,False,False,200
2020-09-12 08:02:07.764,filter,519,INFO,sshd,Found,195.82.113.65,AS34977,PROCONO S.A.,ptvtelecom.com,195.82.112.0/21,isp,34,Madrid,EU,Europe,ES,Spain,True,40.4165,-3.7026,28053,Madrid,MD,False,False,False,False,False,False,False,200
2020-09-12 11:02:08.685,actions,519,NOTICE,sshd,Unban,195.82.113.65,AS34977,PROCONO S.A.,ptvtelecom.com,195.82.112.0/21,isp,34,Madrid,EU,Europe,ES,Spain,True,40.4165,-3.7026,28053,Madrid,MD,False,False,False,False,False,False,False,200
2020-09-13 02:05:14.020,filter,519,INFO,sshd,Found,149.34.19.165,AS35699,Adamo Telecom Iberia S.A.,adamo.es,149.34.16.0/21,isp,34,None,EU,Europe,ES,Spain,True,40.4172,-3.6839999999999997,None,None,None,False,False,False,False,False,False,False,200
2020-09-13 02:05:14.239,actions,519,NOTICE,sshd,Ban,149.34.19.165,AS35699,Adamo Telecom Iberia S.A.,adamo.es,149.34.16.0/21,isp,34,None,EU,Europe,ES,Spain,True,40.4172,-3.6839999999999997,None,None,None,False,False,False,False,False,False,False,200
