country,number
China,31984
Ecuador,34
South Korea,1174
France,3001
Italy,421
Germany,1629
Canada,797
Philippines,92
Taiwan,298
India,1797
United States,11178
Panama,242
Japan,402
Poland,171
Singapore,1853
Brazil,1427
Ukraine,160
Portugal,54
Republic of Lithuania,3698
Netherlands,1599
South Africa,165
Colombia,308
United Kingdom,1559
Spain,233
Chile,137
Thailand,434
Indonesia,710
Seychelles,1
Australia,208
Russia,802
Vietnam,846
Hong Kong,752
Romania,119
Botswana,5
Guatemala,21
Argentina,307
Sweden,196
Switzerland,136
Egypt,28
Mexico,244
Burkina Faso,19
Belgium,53
Croatia,127
Bulgaria,41
Algeria,15
Syria,9
Dominican Republic,37
Morocco,68
Malaysia,101
Tunisia,54
Cyprus,36
United Arab Emirates,97
Palestine,21
Uzbekistan,61
Uruguay,37
Ireland,229
Iran,126
Bangladesh,142
Denmark,25
Estonia,5
Ethiopia,9
Luxembourg,16
Armenia,15
Peru,14
Venezuela,65
Latvia,12
Kyrgyzstan,8
Kenya,30
Israel,9
Bahamas,4
Pakistan,103
Saudi Arabia,28
Bolivia,24
Belarus,32
Hungary,118
Nigeria,43
Macao,8
Norway,57
Slovenia,13
Austria,17
Kazakhstan,38
Turkey,54
Costa Rica,9
Guadeloupe,4
Puerto Rico,10
Ivory Coast,38
Paraguay,34
Ghana,25
Mauritius,16
Azerbaijan,4
Qatar,14
Sri Lanka,26
New Zealand,15
Czechia,27
Finland,23
Georgia,14
Senegal,10
Cambodia,16
Mongolia,17
Uganda,4
Oman,8
Nepal,22
Zambia,14
Réunion,9
Serbia,6
Zimbabwe,10
Benin,18
None,45
Cameroon,12
Hashemite Kingdom of Jordan,16
Madagascar,5
Lebanon,5
Mozambique,5
Rwanda,5
Greece,21
Myanmar,10
Tanzania,12
Jamaica,5
Solomon Islands,3
North Macedonia,5
Laos,4
Somalia,4
Sudan,5
Libya,5
Bosnia and Herzegovina,5
Iraq,6
Niger,3
Bahrain,4
Kuwait,4
