id,type,
1,AS4847,
2,AS19114,
3,AS9318,
4,AS12322,
5,AS3269,
6,AS23650,
7,AS45090,
8,AS8560,
9,AS4134,
10,AS9808,
11,AS4812,
12,AS4837,
13,AS14061,
14,AS8075,
15,AS17639,
16,AS38365,
17,AS9416,
18,AS24560,
19,AS7922,
20,AS24961,
21,AS43350,
22,AS63949,
23,AS57608,
24,AS134774,
25, None,
26,AS16276,
27,AS27699,
28,AS6702,
29,AS58969,
30,AS3243,
31,AS209605,
32,AS26496,
33,AS812,
34,AS17853,
35,AS132839,
36,AS10620,
37,AS34934,
38,AS49981,
39,AS201109,
40,AS6429,
41,AS9931,
42,AS4800,
43,AS9335,
44,AS57858,
45,AS52693,
46,AS12876,
47,AS7713,
48,AS11427,
49,AS45575,
50,AS3786,
51,AS4739,
52,AS59019,
53,AS45102,
54,AS34757,
55,AS25820,
56,AS7552,
57,AS4766,
58,AS4760,
59,AS50094,
60,AS42922,
61,AS16637,
62,AS8220,
63,AS9829,
64,AS14754,
65,AS6939,
66,AS22927,
67,AS58593,
68,AS133398,
69,AS45382,
70,AS4808,
71,AS8711,
72,AS39351,
73,AS60729,
74,AS1101,
75,AS197226,
76,AS53667,
77,AS200052,
78,AS396507,
79,AS197540,
80,AS51815,
81,AS9009,
82,AS198093,
83,AS45903,
84,AS34700,
85,AS4224,
86,AS17622,
87,AS2561,
88,AS17072,
89,AS133311,
90,AS14522,
91,AS10175,
92,AS12392,
93,AS21367,
94,AS1916,
95,AS6830,
96,AS3462,
97,AS262497,
98,AS28668,
99,AS5391,
100,AS42864,
101,AS58906,
102,AS38732,
103,AS10103,
104,AS5650,
105,AS15169,
106,AS132203,
107,AS53172,
108,AS10318,
109,AS16629,
110,AS262808,
111,AS17877,
112,AS31195,
113,AS14080,
114,AS265949,
115,AS39184,
116,AS198203,
117,AS36947,
118,AS268789,
119,AS134762,
120,AS55577,
121,AS24186,
122,AS17816,
123,AS8580,
124,AS29256,
125,AS31034,
126,AS3484,
127,AS25490,
128,AS6400,
129,AS38700,
130,AS36352,
131,AS6713,
132,AS52892,
133,AS30722,
134,AS4788,
135,AS203540,
136,AS8100,
137,AS5438,
138,AS137702,
139,AS18116,
140,AS9269,
141,AS6181,
142,AS57993,
143,AS4773,
144,AS9845,
145,AS11664,
146,AS16229,
147,AS39651,
148,AS31898,
149,AS53003,
150,AS1221,
151,AS263332,
152,AS48437,
153,AS45899,
154,AS14117,
155,AS28573,
156,AS3320,
157,AS4804,
158,AS5384,
159,AS18302,
160,AS57378,
161,AS6079,
162,AS17962,
163,AS701,
164,AS18809,
165,AS2119,
166,AS29518,
167,AS12389,
168,AS56676,
169,AS3215,
170,AS174,
171,AS24400,
172,AS9304,
173,AS852,
174,AS17858,
175,AS23724,
176,AS50673,
177,AS13489,
178,AS3216,
179,AS7738,
180,AS5617,
181,AS15975,
182,AS38994,
183,AS12874,
184,AS8193,
185,AS6057,
186,AS45629,
187,AS28513,
188,AS205727,
189,AS55967,
190,AS20746,
191,AS15704,
192,AS6503,
193,AS6128,
194,AS9381,
195,AS198569,
196,AS23700,
197,AS135130,
198,AS49531,
199,AS21479,
200,AS198541,
201,AS58466,
202,AS56040,
203,AS61913,
204,AS2514,
205,AS28642,
206,AS21502,
207,AS28006,
208,AS133676,
209,AS24445,
210,AS42525,
211,AS7497,
212,AS9785,
213,AS14178,
214,AS17451,
215,AS4761,
216,AS28208,
217,AS36925,
218,AS134764,
219,AS8728,
220,AS3326,
221,AS264691,
222,AS9299,
223,AS62240,
224,AS24757,
225,AS202425,
226,AS200651,
227,AS50618,
228,AS3,
229,AS41281,
230,AS205235,
231,AS9008,
232,AS12093,
233,AS6718,
234,AS44220,
235,AS15311,
236,AS132641,
237,AS12479,
238,AS201884,
239,AS51167,
240,AS27843,
241,AS6471,
242,AS37943,
243,AS6848,
244,AS3352,
245,AS18403,
246,AS15802,
247,AS44568,
248,AS5607,
249,AS7506,
250,AS8048,
251,AS19527,
252,AS12578,
253,AS12764,
254,AS208555,
255,AS1267,
256,AS18229,
257,AS56886,
258,AS48347,
259,AS17813,
260,AS22769,
261,AS34549,
262,AS15399,
263,AS58543,
264,AS136429,
265,AS18881,
266,AS38731,
267,AS6327,
268,AS206945,
269,AS135161,
270,AS58495,
271,AS136334,
272,AS56041,
273,AS38733,
274,AS12430,
275,AS3816,
276,AS8402,
277,AS45011,
278,AS34977,
279,AS9116,
280,AS39608,
281,AS10796,
282,AS15146,
283,AS8544,
284,AS8369,
285,AS9905,
286,AS25500,
287,AS9316,
288,AS24355,
289,AS26608,
290,AS20115,
291,AS202660,
292,AS11172,
293,AS58898,
294,AS45820,
295,AS264685,
296,AS55960,
297,AS51507,
298,AS4750,
299,AS262186,
300,AS16814,
301,AS13768,
302,AS9498,
303,AS28669,
304,AS52871,
305,AS8342,
306,AS24444,
307,AS45773,
308,AS3842,
309,AS8708,
310,AS201771,
311,AS9441,
312,AS6568,
313,AS12714,
314,AS81,
315,AS16509,
316,AS132525,
317,AS41668,
318,AS11419,
319,AS17621,
320,AS134054,
321,AS8167,
322,AS27747,
323,AS9930,
324,AS136288,
325,AS27947,
326,AS6697,
327,AS5483,
328,AS133119,
329,AS37125,
330,AS59491,
331,AS200185,
332,AS35470,
333,AS62068,
334,AS3449,
335,AS24348,
336,AS9812,
337,AS4755,
338,AS30376,
339,AS7018,
340,AS15895,
341,AS13124,
342,AS8881,
343,AS38932,
344,AS4609,
345,AS34989,
346,AS55286,
347,AS41653,
348,AS57860,
349,AS198605,
350,AS25229,
351,AS34779,
352,AS8473,
353,AS35122,
354,AS18049,
355,AS9770,
356,AS4780,
357,AS45543,
358,AS395127,
359,AS50649,
360,AS132717,
361,AS13999,
362,AS11845,
363,AS3301,
364,AS22773,
365,AS262207,
366,AS12989,
367,AS131596,
368,AS13188,
369,AS39898,
370,AS20001,
371,AS35699,
372,AS577,
373,AS12552,
374,AS3549,
375,AS135981,
376,AS9534,
377,AS47764,
378,AS16284,
379,AS59050,
380,AS34192,
381,AS26223,
382,AS24309,
383,AS132280,
384,AS17974,
385,AS18002,
386,AS133774,
387,AS132422,
388,AS24940,
389,AS58224,
390,AS59454,
391,AS16735,
392,AS20632,
393,AS10481,
394,AS28310,
395,AS49301,
396,AS197637,
397,AS8641,
398,AS11556,
399,AS23969,
400,AS17488,
401,AS55684,
402,AS35916,
403,AS63612,
404,AS267529,
405,AS9198,
406,AS134548,
407,AS5588,
408,AS14618,
409,AS13354,
410,AS262459,
411,AS39435,
412,AS267285,
413,AS9121,
414,AS38511,
415,AS3141,
416,AS12083,
417,AS58080,
418,AS4816,
419,AS7560,
420,AS267251,
421,AS29550,
422,AS38666,
423,AS33363,
424,AS131293,
425,AS58563,
426,AS24138,
427,AS8151,
428,AS2860,
429,AS5413,
430,AS2856,
431,AS21219,
432,AS263165,
433,AS58400,
434,AS15557,
435,AS46573,
436,AS55410,
437,AS3758,
438,AS137687,
439,AS41717,
440,AS25540,
441,AS132754,
442,AS11432,
443,AS61317,
444,AS265741,
445,AS3356,
446,AS138062,
447,AS39501,
448,AS135377,
449,AS137443,
450,AS38761,
451,AS2518,
452,AS9341,
453,AS27651,
454,AS264738,
455,AS135953,
456,AS41164,
457,AS263482,
458,AS17465,
459,AS52228,
460,AS41018,
461,AS20776,
462,AS23860,
463,AS34718,
464,AS15525,
465,AS11014,
466,AS132290,
467,AS136342,
468,AS35908,
469,AS27193,
470,AS22689,
471,AS36423,
472,AS17670,
473,AS138421,
474,AS26615,
475,AS13193,
476,AS20852,
477,AS14259,
478,AS59164,
479,AS56150,
480,AS17439,
481,AS17841,
482,AS9370,
483,AS10429,
484,AS328025,
485,AS208666,
486,AS45235,
487,AS38283,
488,AS25019,
489,AS45839,
490,AS11830,
491,AS267728,
492,AS22884,
493,AS21127,
494,AS262346,
495,AS56046,
496,AS58519,
497,AS56048,
498,AS17676,
499,AS8452,
500,AS42695,
501,AS48614,
502,AS21453,
503,AS17995,
504,AS134772,
505,AS267410,
506,AS5713,
507,AS3741,
508,AS24428,
509,AS46606,
510,AS8764,
511,AS28146,
512,AS37061,
513,AS44213,
514,AS31200,
515,AS268585,
516,AS4058,
517,AS265377,
518,AS4270,
519,AS57480,
520,AS61512,
521,AS18196,
522,AS135478,
523,AS9658,
524,AS133115,
525,AS37352,
526,AS209341,
527,AS137342,
528,AS37417,
529,AS63646,
530,AS132883,
531,AS202468,
532,AS2116,
533,AS47869,
534,AS7545,
535,AS7418,
536,AS23201,
