network_provider,asn,domain,route,type,server_info_id
1,1,1,1,isp,1
1,1,1,1,isp,2
1,1,1,1,isp,3
1,1,1,1,isp,266
2,2,2,2,isp,4
3,3,1,3,isp,5
3,3,1,3,isp,6
3,3,1,3,isp,7
3,3,1,3,isp,8
3,3,1,3,isp,267
3,3,1,3,isp,32969
3,3,1,3,isp,32970
3,3,1,3,isp,32971
3,3,1,3,isp,32972
3,3,1,3,isp,33498
4,4,3,4,isp,9
4,4,3,4,isp,4980
4,4,3,4,isp,4981
4,4,3,4,isp,4982
4,4,3,4,isp,4983
4,4,3,4,isp,4984
4,4,3,4,isp,4985
4,4,3,4,isp,4986
4,4,3,4,isp,5191
4,4,3,4,isp,9952
4,4,3,4,isp,9953
4,4,3,4,isp,9954
4,4,3,4,isp,9955
4,4,3,4,isp,9956
4,4,3,4,isp,9957
4,4,3,4,isp,9958
4,4,3,4,isp,10160
4,4,3,4,isp,14392
4,4,3,4,isp,14393
4,4,3,4,isp,14394
4,4,3,4,isp,14395
4,4,3,4,isp,14643
4,4,3,4,isp,18922
4,4,3,4,isp,18923
4,4,3,4,isp,18924
4,4,3,4,isp,18925
4,4,3,4,isp,18926
4,4,3,4,isp,18930
4,4,3,4,isp,18931
4,4,3,4,isp,19141
4,4,3,4,isp,22360
4,4,3,4,isp,22361
4,4,3,4,isp,22362
4,4,3,4,isp,22363
4,4,3,4,isp,22364
4,4,3,4,isp,22365
4,4,3,4,isp,22366
4,4,3,4,isp,22502
4,4,3,4,isp,22503
4,4,3,4,isp,22504
4,4,3,4,isp,22505
4,4,3,4,isp,22725
4,4,3,4,isp,22854
4,4,3,4,isp,29469
4,4,3,4,isp,29470
4,4,3,4,isp,29471
4,4,3,4,isp,29805
4,4,3,4,isp,57743
4,4,3,4,isp,57744
4,4,3,4,isp,57745
4,4,3,4,isp,57746
4,4,3,4,isp,57946
4,4,3,4,isp,58789
4,4,3,4,isp,58790
4,4,3,4,isp,58791
4,4,3,4,isp,59014
4,4,3,4,isp,59223
4,4,3,4,isp,59224
4,4,3,4,isp,59225
4,4,3,4,isp,59468
4,4,3,4,isp,62304
4,4,3,4,isp,62305
4,4,3,4,isp,62306
4,4,3,4,isp,62307
4,4,3,4,isp,62551
5,5,4,5,isp,10
6,6,1,6,isp,11
6,6,1,6,isp,31
6,6,1,6,isp,32
6,6,1,6,isp,33
6,6,1,6,isp,37
6,6,1,6,isp,42
6,6,1,6,isp,44
6,6,1,6,isp,45
6,6,1,6,isp,46
6,6,1,6,isp,92
6,6,1,6,isp,93
6,6,1,6,isp,94
6,6,1,6,isp,109
6,6,1,6,isp,118
6,6,1,6,isp,133
6,6,1,6,isp,134
6,6,1,6,isp,135
6,6,1,6,isp,136
6,6,1,6,isp,143
6,6,1,6,isp,150
6,6,1,6,isp,186
6,6,1,6,isp,240
6,6,1,6,isp,292
6,6,1,6,isp,294
6,6,1,6,isp,295
6,6,1,6,isp,296
6,6,1,6,isp,308
6,6,1,6,isp,309
6,6,1,6,isp,310
6,6,1,6,isp,325
6,6,1,6,isp,349
6,6,1,6,isp,350
6,6,1,6,isp,351
6,6,1,6,isp,373
6,6,1,6,isp,374
6,6,1,6,isp,375
6,6,1,6,isp,388
6,6,1,6,isp,389
6,6,1,6,isp,390
6,6,1,6,isp,393
6,6,1,6,isp,396
6,6,1,6,isp,397
6,6,1,6,isp,398
6,6,1,6,isp,401
6,6,1,6,isp,402
6,6,1,6,isp,403
6,6,1,6,isp,408
6,6,1,6,isp,421
6,6,1,6,isp,422
6,6,1,6,isp,423
6,6,1,6,isp,459
6,6,1,6,isp,460
6,6,1,6,isp,461
6,6,1,6,isp,542
6,6,1,6,isp,543
6,6,1,6,isp,544
6,6,1,6,isp,545
6,6,1,6,isp,546
6,6,1,6,isp,547
6,6,1,6,isp,582
6,6,1,6,isp,621
6,6,1,6,isp,716
6,6,1,6,isp,725
6,6,1,6,isp,726
6,6,1,6,isp,727
6,6,1,6,isp,728
6,6,1,6,isp,740
6,6,1,6,isp,747
6,6,1,6,isp,757
6,6,1,6,isp,786
6,6,1,6,isp,787
6,6,1,6,isp,788
6,6,1,6,isp,800
6,6,1,6,isp,801
6,6,1,6,isp,802
6,6,1,6,isp,804
6,6,1,6,isp,818
6,6,1,6,isp,826
6,6,1,6,isp,827
6,6,1,6,isp,828
6,6,1,6,isp,834
6,6,1,6,isp,835
6,6,1,6,isp,836
6,6,1,6,isp,844
6,6,1,6,isp,845
6,6,1,6,isp,846
6,6,1,6,isp,847
6,6,1,6,isp,850
6,6,1,6,isp,851
6,6,1,6,isp,852
6,6,1,6,isp,873
6,6,1,6,isp,874
6,6,1,6,isp,875
6,6,1,6,isp,876
6,6,1,6,isp,877
6,6,1,6,isp,885
6,6,1,6,isp,886
6,6,1,6,isp,887
6,6,1,6,isp,966
6,6,1,6,isp,967
6,6,1,6,isp,968
6,6,1,6,isp,969
6,6,1,6,isp,1042
6,6,1,6,isp,1049
6,6,1,6,isp,1074
6,6,1,6,isp,1075
6,6,1,6,isp,1076
6,6,1,6,isp,1085
6,6,1,6,isp,1087
6,6,1,6,isp,1092
6,6,1,6,isp,1093
6,6,1,6,isp,1094
6,6,1,6,isp,1099
6,6,1,6,isp,1104
6,6,1,6,isp,1113
6,6,1,6,isp,1114
6,6,1,6,isp,1115
6,6,1,6,isp,1116
6,6,1,6,isp,1143
6,6,1,6,isp,1144
6,6,1,6,isp,1145
6,6,1,6,isp,1146
6,6,1,6,isp,1154
6,6,1,6,isp,1155
6,6,1,6,isp,1156
6,6,1,6,isp,1181
6,6,1,6,isp,1182
6,6,1,6,isp,1183
6,6,1,6,isp,1187
6,6,1,6,isp,1188
6,6,1,6,isp,1189
6,6,1,6,isp,1190
6,6,1,6,isp,1195
6,6,1,6,isp,1267
6,6,1,6,isp,1268
6,6,1,6,isp,1269
6,6,1,6,isp,1283
6,6,1,6,isp,1289
6,6,1,6,isp,1290
6,6,1,6,isp,1291
6,6,1,6,isp,1302
6,6,1,6,isp,1339
6,6,1,6,isp,1350
6,6,1,6,isp,1364
6,6,1,6,isp,1386
6,6,1,6,isp,1388
6,6,1,6,isp,1406
6,6,1,6,isp,1407
6,6,1,6,isp,1408
6,6,1,6,isp,1486
6,6,1,6,isp,1487
6,6,1,6,isp,1488
6,6,1,6,isp,1500
6,6,1,6,isp,1501
6,6,1,6,isp,1502
6,6,1,6,isp,1504
6,6,1,6,isp,1518
6,6,1,6,isp,1519
6,6,1,6,isp,1520
6,6,1,6,isp,1522
6,6,1,6,isp,1544
6,6,1,6,isp,1545
6,6,1,6,isp,1546
