network_provider_id,network_provider,
1,China Networks Inter-Exchange,
2,Otecel S.A.,
3,None,
4,Free SAS,
5,Telecom Italia S.p.A.,
6,AS Number for CHINANET jiangsu province backbone,
7,Shenzhen Tencent Computer Systems Company Limited,
8,1&1 Internet SE,
9,Jin-rong Street,
10,Guangdong Mobile Communication Co.Ltd.,
11,China Telecom (Group),
12,CHINA UNICOM China169 Backbone,
13,DigitalOcean,
14,Microsoft Corporation,
15,Converge ICT Solutions Inc.,
16,Beijing Baidu Netcom Science and Technology Co.,
17,Hoshin Multimedia Center Inc.,
18,Bharti Airtel Telemedia Services,
19,Comcast Cable Communications,
20,myLoc managed IT AG,
21,NForce Entertainment B.V.,
22,Linode,
23,DG-NET SA,
24,CHINANET Guangdong province Shenzhen MAN network,
25, None,
26,OVH SAS,
27,TELEFONICA BRASIL S.A,
28,Science Production Company Trifle Ltd.,
29,Kerala Communicators Cable Limited,
30,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,
31,UAB Host Baltic,
32,GoDaddy.com,
33,Rogers Communications Canada Inc.,
34,POWER LINE DATACENTER,
35,Telmex Colombia S.A.,
36,UKFAST.NET LIMITED,
37,WorldStream B.V.,
38,LLEIDA WIFI NETWORKS SL,
39,Telmex Chile Internet S.A.,
40,The Communication Authoity of Thailand,
41,Network Access Provider and,
42,CAT Telecom Public Company Limited,
43,Inter Connects Inc,
44,Conectel Telecomunicacoes e Informatica Ltda ME,
45,ONLINE S.A.S.,
46,PT Telekomunikasi Indonesia,
47,Charter Communications Inc,
48,Rajamangala University of Technology Srivijaya,
49,LG DACOM Corporation,
50,Internode Pty Ltd,
51,Beijing Kingsoft Cloud Internet Technology ,
52,Alibaba (US) Technology Co.,
53,Sibirskie Seti Ltd.,
54,IT7 Networks Inc,
55,Viettel Group,
56,Korea Telecom,
57,HKT Limited,
58,FULLSHOP SRL,
59,KaspNet Ltd.,
60,MTN SA,
61,COLT Technology Services Group Limited,
62,National Internet Backbone,
63,Telgua,
64,Hurricane Electric LLC,
65,Telefonica de Argentina,
66,Shanghai Blue Cloud Technology Co,
67,Tele Asia Limited,
68,China Unicom Beijing Province Network,
69,JSC Avantel,
70,31173 Services AB,
71,Zwiebelfreunde e.V.,
72,SURFnet bv,
73,SPRINT S.A.,
74,FranTech Solutions,
75,Joshua Peter McQuistan,
76,Emerald Onion,
77,netcup GmbH,
78,IP-Only Networks AB,
79,M247 Ltd,
80,Foreningen for digitala fri- och rattigheter,
81,CMC Telecom Infrastructure Company,
82,MAXNET TELECOM,
83,The Calyx Institute,
84,China Unicom Guangzhou network,
85,Egyptian Universities Network (EUN),
86,TOTAL PLAY TELECOMUNICACIONES SA DE CV,
87,Maxtech Broadband Pvt Ltd,
88,Satnet,
89,Brutele SC,
90,Wiland Ltd,
91,Associacao Rede Nacional de Ensino e Pesquisa,
92,Liberty Global B.V.,
93,Data Communication Business Group,
94,JNNET TELECOMUNICACOES EIRELI - EPP,
95,Silva & Silveira Provedor de Internet Ltda,
96,Hrvatski Telekom d.d.,
97,Giganet Internet Szolgaltato Kft,
98,Shivansh Infotech pvt Ltd,
99,HK Broadband Network Ltd.,
100,Frontier Communications of America,
101,Google LLC,
102,Tencent Building,
