route_id,route,
1,118.244.192.0/19,
2,200.7.208.0/20,
3,175.112.0.0/13,
4,82.64.0.0/14,
5,79.22.0.0/15,
6,222.186.175.0/24,
7,49.235.128.0/20,
8,222.186.180.0/24,
9,217.160.0.0/16,
10,106.52.0.0/20,
11,212.129.224.0/19,
12,117.32.0.0/13,
13,117.173.0.0/16,
14,114.67.64.0/18,
15,61.177.0.0/16,
16,218.92.0.0/16,
17,112.80.0.0/13,
18,165.227.32.0/20,
19,20.36.0.0/14,
20,119.29.230.0/23,
21,121.58.212.0/24,
22,106.13.64.0/19,
23,203.204.128.0/17,
24,222.186.173.0/24,
25,122.165.148.0/22,
26,69.240.0.0/12,
27,185.132.53.0/24,
28,222.186.169.0/24,
29,45.227.255.0/24,
30,139.162.96.0/19,
31,104.208.0.0/13,
32,58.56.0.0/15,
33,218.2.0.0/16,
34,106.13.192.0/18,
35,185.238.120.0/22,
36,183.62.136.0/21,
37, None,
38,167.71.192.0/20,
39,5.135.0.0/16,
40,201.42.0.0/15,
41,104.236.192.0/18,
42,195.24.128.0/19,
43,51.91.0.0/16,
44,113.248.0.0/14,
45,132.232.64.0/20,
46,103.199.160.0/22,
47,49.232.96.0/20,
48,106.124.0.0/16,
49,85.240.0.0/13,
50,141.98.10.0/24,
51,128.199.192.0/18,
52,208.109.0.0/16,
53,72.143.0.0/18,
54,213.32.0.0/17,
55,223.171.0.0/16,
56,122.160.233.0/24,
57,5.101.104.0/22,
58,160.124.32.0/19,
59,190.146.54.0/24,
60,46.37.160.0/19,
61,142.93.96.0/20,
62,103.136.40.0/23,
63,146.66.244.0/24,
64,200.27.192.0/19,
65,209.97.128.0/20,
66,181.53.251.0/24,
67,159.89.160.0/20,
68,61.19.202.0/24,
69,129.204.160.0/19,
70,149.202.0.0/16,
71,51.38.0.0/16,
72,128.199.128.0/18,
73,125.213.128.0/24,
74,122.155.160.0/19,
75,165.231.13.0/24,
76,37.187.0.0/16,
77,177.73.136.0/22,
78,51.15.0.0/16,
79,178.32.0.0/15,
80,148.70.80.0/20,
81,178.62.0.0/18,
