ip,number
124.137.205.59,8
115.77.185.8,3
81.192.8.14,14
128.199.124.53,6
24.172.172.2,4
47.188.43.153,8
180.180.241.93,4
142.93.68.181,9
119.96.189.177,4
176.122.156.32,5
139.59.32.156,5
45.55.184.78,4
111.229.155.209,9
111.231.119.93,4
51.68.174.179,4
162.211.226.228,4
111.229.244.205,4
223.206.240.84,5
104.248.235.16,11
46.101.113.206,13
156.54.164.147,5
118.24.47.141,5
42.118.121.252,5
124.207.98.213,10
148.70.208.187,8
119.204.112.229,4
189.178.0.141,5
81.84.249.147,8
195.224.138.61,17
212.64.68.71,5
81.130.234.235,4
77.222.132.189,4
94.2.61.17,5
91.134.242.199,11
218.75.210.46,29
168.62.174.233,4
103.76.211.48,3
193.218.118.130,4
34.93.211.49,4
191.52.249.154,4
122.51.217.131,8
182.75.115.59,5
212.64.111.18,4
122.165.194.191,4
167.71.232.211,4
103.23.100.87,4
122.227.159.84,9
91.72.219.110,4
68.183.126.143,13
36.112.148.151,4
54.37.86.192,9
37.70.217.215,9
104.223.143.101,9
176.31.127.152,4
157.245.91.72,4
42.112.211.52,4
36.22.187.34,9
123.63.161.194,5
165.22.216.238,5
195.154.114.117,5
142.93.212.10,6
164.90.224.231,9
58.22.30.100,4
118.201.65.165,4
118.99.108.99,5
159.89.198.110,4
180.249.165.6,4
51.68.44.154,4
37.187.3.53,4
125.167.145.223,5
49.233.134.252,10
154.90.1.18,5
129.211.32.25,5
180.76.135.15,4
180.76.51.143,4
137.116.128.105,9
110.136.218.3,4
181.58.120.115,4
193.112.77.103,5
111.229.218.60,4
114.98.231.143,4
36.99.40.139,5
45.195.61.54,4
177.43.35.6,9
185.142.189.6,4
123.206.45.179,4
45.55.180.7,8
180.76.101.202,5
103.248.33.51,4
159.203.27.149,4
200.170.250.54,5
13.125.115.202,4
178.128.113.211,8
14.99.81.218,4
106.12.212.89,4
192.144.239.96,9
81.56.104.168,4
193.228.91.108,32
193.7.200.102,9
118.25.63.170,10
49.234.94.59,13
45.172.108.77,14
106.13.4.86,9
45.172.108.67,5
62.67.57.41,4
45.172.108.65,6
186.85.159.135,4
103.129.221.62,4
89.165.2.239,5
174.138.64.163,4
161.35.29.223,4
165.227.41.64,12
151.80.149.75,4
122.51.155.140,4
178.32.76.150,5
118.69.82.233,9
34.123.149.227,5
128.14.227.177,4
159.203.61.182,5
123.31.45.49,4
176.122.158.234,4
103.254.198.67,9
45.172.108.61,6
121.100.28.199,8
49.233.128.229,4
172.96.214.107,6
138.99.6.177,4
128.1.133.165,5
60.251.136.127,9
101.93.240.20,4
193.112.108.11,4
106.13.179.45,10
128.199.162.108,10
106.92.56.28,6
1.0.250.49,3
106.53.232.38,4
36.133.109.23,5
220.102.43.235,8
46.105.149.168,9
223.25.97.250,4
165.22.26.140,4
122.51.252.45,4
106.54.233.175,17
152.231.107.44,4
2.233.125.227,9
176.122.159.131,4
128.199.106.169,4
62.234.17.74,4
170.233.30.33,4
167.114.103.140,4
103.93.181.10,5
129.211.124.120,8
113.176.89.116,4
132.232.11.218,8
206.189.22.230,4
117.33.225.111,10
122.144.196.122,5
68.183.92.210,4
165.22.101.1,4
119.96.118.78,5
167.172.196.255,5
197.247.249.146,4
103.130.212.169,5
36.66.211.7,5
132.232.14.159,4
159.203.63.125,4
118.25.57.184,9
49.233.143.87,4
84.214.54.81,14
191.242.217.110,5
122.51.204.45,4
103.76.175.130,10
154.8.167.100,10
108.190.190.48,10
51.254.37.156,4
140.143.247.30,8
185.53.130.167,4
117.4.240.236,5
180.96.63.162,4
113.176.163.13,3
45.14.150.52,4
68.183.146.178,4
123.133.86.27,4
14.190.38.207,5
42.104.109.194,5
106.12.196.118,14
134.209.153.128,8
182.61.40.227,4
202.88.234.150,4
216.24.177.73,4
106.12.147.216,9
76.120.7.86,4
222.87.224.25,8
42.194.163.213,5
142.93.107.175,25
152.231.140.150,4
175.139.202.201,4
202.188.20.123,4
116.247.81.99,9
195.189.227.143,5
111.229.4.247,5
100.26.236.62,5
117.3.251.2,3
167.71.127.147,4
193.112.109.108,5
200.44.50.155,9
14.187.66.184,3
186.147.35.76,4
159.203.35.141,12
217.175.171.173,4
103.81.86.49,4
61.155.209.51,4
67.207.89.15,9
144.48.227.74,9
34.65.38.89,4
157.245.163.0,4
3.96.94.201,4
115.60.57.216,4
122.156.219.212,14
185.220.102.6,6
192.42.116.22,5
51.83.33.88,9
103.98.17.75,4
106.12.151.250,10
14.141.61.171,8
80.211.81.221,5
81.68.113.212,4
49.247.20.24,5
104.248.121.165,4
49.247.208.185,8
90.209.9.28,14
200.73.131.100,4
123.126.82.8,4
164.90.221.202,4
64.225.35.135,4
165.227.72.166,4
89.236.239.25,5
1.220.65.82,5
159.65.13.233,5
62.28.222.221,13
190.111.211.52,4
174.138.40.185,10
149.56.130.61,4
54.37.68.191,9
49.206.228.138,4
212.129.16.53,9
162.243.215.241,9
109.116.41.238,5
206.81.12.141,8
45.55.59.197,9
206.189.18.40,4
103.140.83.20,4
176.31.163.192,5
139.99.43.235,5
106.54.114.208,5
106.75.118.180,9
182.61.37.144,9
103.217.151.208,6
67.198.205.176,3
66.146.162.21,4
34.68.180.110,4
27.75.184.89,5
139.199.228.133,4
189.7.25.246,4
62.67.57.43,10
139.59.29.28,10
187.18.108.73,5
171.79.82.53,6
68.183.185.101,4
209.244.77.241,4
70.45.133.188,10
118.96.112.221,5
202.147.198.154,8
159.89.236.71,4
111.11.181.53,5
112.64.33.38,5
54.36.190.245,10
125.35.92.130,20
149.56.12.88,5
159.65.162.189,4
191.162.220.136,4
106.12.217.204,4
171.25.209.203,4
181.115.156.59,5
167.114.3.158,5
213.184.252.110,9
106.13.142.161,5
187.149.40.124,5
190.196.64.93,4
103.245.198.22,6
138.68.184.70,4
79.120.118.82,5
188.226.131.171,4
95.190.206.194,4
64.225.106.12,9
51.178.46.95,5
139.59.18.215,4
46.101.157.11,9
103.232.120.109,4
106.54.87.169,9
93.149.12.2,4
61.183.144.188,4
157.245.200.154,4
123.108.35.186,4
103.210.21.57,4
106.13.146.93,5
34.96.191.167,5
211.57.153.250,4
51.38.186.180,4
211.159.153.62,4
160.16.75.21,6
189.57.73.18,10
181.177.245.165,5
123.206.64.77,8
130.185.155.34,8
162.243.10.64,5
164.160.33.164,18
184.170.212.94,5
122.51.218.122,15
130.180.66.97,5
85.164.25.9,4
37.49.230.141,3
69.194.8.237,4
45.250.213.91,5
81.192.103.84,5
14.182.227.217,6
90.84.176.171,5
118.25.74.199,9
182.151.15.175,4
212.64.43.52,4
118.89.231.109,14
51.103.6.21,5
152.136.30.135,4
106.12.113.111,5
155.4.247.39,5
191.234.189.174,4
50.54.159.184,8
175.24.95.240,4
27.69.186.40,4
81.68.120.181,4
118.89.236.249,5
49.233.54.98,4
122.51.176.111,4
119.45.43.147,8
178.128.217.58,4
157.230.220.179,4
200.204.174.163,5
49.233.216.158,9
94.98.95.6,5
119.27.160.176,4
106.13.231.150,4
120.132.22.92,5
128.14.236.157,4
161.97.88.144,4
80.11.61.235,4
111.90.158.145,4
159.89.91.67,4
201.192.152.202,5
45.167.25.143,5
156.54.169.159,10
171.239.255.136,3
187.190.40.112,12
122.152.248.27,4
54.144.249.186,4
125.137.236.50,6
51.210.107.217,4
102.37.40.61,18
167.71.211.85,14
165.22.61.82,13
82.200.65.218,4
42.200.155.72,9
154.85.54.193,9
122.51.81.247,4
177.125.164.225,5
106.52.23.108,8
69.245.71.26,8
118.25.114.245,4
94.23.206.122,4
181.63.248.149,4
36.156.155.192,4
223.247.207.75,4
203.56.24.180,10
39.155.212.90,10
60.141.184.140,3
106.12.68.244,4
45.80.65.82,4
111.93.235.74,39
104.131.55.236,5
175.193.13.3,4
197.62.35.207,4
200.66.82.250,4
91.106.199.101,9
54.199.248.63,4
217.182.68.93,5
51.254.205.6,6
152.32.165.88,9
193.112.111.207,8
222.239.124.19,10
94.79.55.192,4
45.144.64.226,4
195.58.38.143,4
125.19.153.156,4
124.158.147.21,6
115.135.41.146,3
49.88.112.72,26
116.6.84.34,4
60.30.98.194,18
36.66.151.17,8
106.54.221.104,4
37.57.169.85,5
