ip,number
118.244.206.195,4
200.7.217.185,1
175.118.152.100,10
82.64.32.76,1
79.23.21.73,1
222.186.175.150,300
49.235.141.203,1
222.186.180.8,335
217.160.166.99,25
106.52.8.171,4
212.129.242.171,6
117.33.253.49,4
117.173.209.69,4
114.67.110.126,9
61.177.172.54,343
222.186.175.215,307
222.186.175.167,326
218.92.0.211,61
222.186.175.202,50
112.85.42.176,354
222.186.175.216,370
218.92.0.173,210
222.186.180.17,347
165.227.46.89,10
20.39.190.185,8
218.92.0.224,262
119.29.231.121,8
121.58.212.108,9
218.92.0.250,329
106.13.79.109,5
203.204.188.11,5
222.186.173.226,341
122.165.149.75,6
69.250.156.161,6
185.132.53.194,5
222.186.169.194,339
45.227.255.4,225
112.85.42.173,369
139.162.122.110,45
218.92.0.145,195
104.211.213.191,8
58.56.140.62,10
222.186.175.183,310
218.2.197.240,9
106.13.228.153,4
222.186.169.192,329
185.238.123.61,8
61.177.172.128,281
183.62.139.167,4
222.186.175.182,312
194.180.224.130,119
51.222.14.28,1
218.92.0.133,283
222.186.180.223,335
167.71.203.197,1
5.135.161.7,1
222.186.175.212,190
218.92.0.185,307
201.43.35.60,1
104.236.228.46,6
195.24.129.234,19
222.186.180.147,294
51.91.110.51,11
113.250.254.205,1
132.232.68.26,4
103.199.162.153,5
49.232.100.132,1
222.186.175.217,354
106.124.136.103,1
218.92.0.158,265
222.186.173.142,282
85.247.151.109,5
222.186.175.151,341
141.98.10.210,232
141.98.10.211,283
141.98.10.212,289
141.98.10.213,229
141.98.10.214,285
141.98.10.209,287
128.199.239.204,1
208.109.14.122,6
222.186.173.183,324
72.143.15.82,1
213.32.22.189,6
223.171.46.146,5
122.160.233.137,1
61.177.172.177,317
5.101.107.190,1
160.124.50.93,1
190.146.54.72,1
46.37.168.7,10
142.93.103.141,1
103.136.40.20,1
146.66.244.246,1
200.27.212.22,1
209.97.134.82,1
181.53.251.199,1
159.89.163.226,1
61.19.202.212,1
129.204.177.7,1
149.202.164.82,1
51.38.32.230,6
128.199.170.33,1
125.213.128.178,1
122.155.174.36,1
165.231.13.13,1
222.186.175.148,341
37.187.101.66,1
177.73.136.228,1
51.15.221.90,6
178.32.192.85,5
148.70.89.212,1
178.62.20.115,8
218.92.0.171,281
180.251.189.178,1
157.55.214.174,6
72.129.166.218,1
203.158.177.149,1
111.230.181.82,6
51.68.230.181,1
193.228.91.123,131
103.136.40.88,6
112.85.42.180,267
112.217.207.130,1
61.177.172.142,256
112.85.42.174,358
140.143.248.32,5
194.180.224.115,98
203.206.205.179,6
218.92.0.251,322
106.12.33.174,6
46.101.210.156,5
52.233.240.200,4
218.92.0.175,195
223.241.247.214,1
222.186.180.41,65
145.239.82.11,15
49.233.153.154,4
222.186.175.163,313
222.186.173.238,315
218.92.0.165,181
222.186.180.6,325
120.131.3.191,1
222.186.190.2,341
149.129.254.198,1
182.148.12.83,1
183.162.79.39,1
134.175.227.112,6
218.92.0.246,361
89.189.186.45,8
128.199.241.107,10
65.49.194.40,4
49.232.152.36,4
218.92.0.184,212
171.244.142.42,5
122.51.204.47,4
222.186.175.154,328
167.71.210.7,9
175.192.191.226,5
49.235.99.209,4
221.130.129.138,4
223.197.193.131,4
222.186.173.215,255
93.115.1.195,8
188.131.179.87,4
113.200.60.74,4
51.68.123.198,4
112.85.42.200,193
193.33.240.91,10
119.45.120.24,5
222.186.175.169,316
213.193.44.13,5
222.186.173.201,225
51.75.28.25,14
51.15.204.27,4
104.131.55.92,4
37.59.229.31,8
54.38.242.206,6
144.217.243.216,5
217.111.239.37,4
117.232.127.51,4
51.68.121.169,4
190.56.229.41,4
164.132.107.245,15
218.92.0.168,249
49.88.112.68,12
65.49.20.66,24
161.35.126.137,4
218.92.0.172,171
104.224.171.39,4
186.59.191.30,4
52.130.75.26,9
141.98.9.163,294
141.98.9.164,228
141.98.9.165,290
141.98.9.166,296
141.98.9.167,235
141.98.9.162,289
106.13.123.73,4
103.212.223.122,4
119.29.16.190,4
218.92.0.248,339
111.67.205.91,8
95.181.131.153,4
141.98.252.163,4
185.220.102.244,8
77.247.181.165,12
192.42.116.23,4
193.169.254.91,4
104.244.75.53,8
185.220.101.15,4
185.220.102.254,8
205.185.125.216,4
51.77.135.89,4
185.220.101.205,8
51.75.64.187,8
45.154.168.201,9
23.129.64.205,4
23.129.64.186,9
185.170.114.25,5
23.129.64.208,9
51.15.43.205,12
185.220.102.247,9
62.102.148.68,4
77.247.181.162,9
185.220.101.8,9
195.206.105.217,8
171.25.193.20,9
185.220.101.16,9
23.160.208.248,5
185.220.102.245,8
209.141.40.46,4
203.205.37.233,4
107.189.11.163,9
185.220.102.251,4
