country,city,perform,latitude,longitude,ip
0,None,Ban,0,0,
Germany,None,Found,51.2993,9.491,185.220.102.244
Germany,None,Ban,51.2993,9.491,185.220.102.244
Netherlands,s-Hertogenbosch,Found,51.6906,5.2755,77.247.181.165
Netherlands,s-Hertogenbosch,Ban,51.6906,5.2755,77.247.181.165
Netherlands,Amsterdam,Found,52.3759,4.8975,192.42.116.23
Netherlands,Amsterdam,Ban,52.3759,4.8975,192.42.116.23
United States,Phoenix,Found,33.4532,-112.0748,104.244.75.53
United States,Phoenix,Ban,33.4532,-112.0748,104.244.75.53
Germany,None,Found,51.2993,9.491,185.220.101.15
Germany,None,Ban,51.2993,9.491,185.220.101.15
Germany,None,Found,51.2993,9.491,185.220.102.254
Germany,None,Ban,51.2993,9.491,185.220.102.254
United States,San Jose,Found,37.3387,-121.8914,205.185.125.216
United States,San Jose,Ban,37.3387,-121.8914,205.185.125.216
Germany,None,Found,51.2993,9.491,185.220.101.205
Germany,None,Ban,51.2993,9.491,185.220.101.205
France,None,Found,48.8582,2.3387,51.75.64.187
France,None,Ban,48.8582,2.3387,51.75.64.187
France,None,Found,48.8582,2.3387,45.154.168.201
France,None,Ban,48.8582,2.3387,45.154.168.201
France,None,already banned,48.8582,2.3387,45.154.168.201
United States,None,Found,37.751,-97.822,23.129.64.205
United States,None,Ban,37.751,-97.822,23.129.64.205
United States,None,Found,37.751,-97.822,23.129.64.186
United States,None,Ban,37.751,-97.822,23.129.64.186
United States,None,already banned,37.751,-97.822,23.129.64.186
Germany,None,Found,51.2993,9.491,185.170.114.25
Germany,None,Ban,51.2993,9.491,185.170.114.25
Germany,None,already banned,51.2993,9.491,185.170.114.25
United States,None,Found,37.751,-97.822,23.129.64.208
United States,None,Ban,37.751,-97.822,23.129.64.208
Netherlands,Haarlem,Found,52.3812,4.6361,51.15.43.205
Netherlands,Haarlem,Ban,52.3812,4.6361,51.15.43.205
Germany,None,Found,51.2993,9.491,185.220.102.247
Germany,None,Ban,51.2993,9.491,185.220.102.247
Sweden,None,Found,59.3247,18.056,62.102.148.68
Sweden,None,Ban,59.3247,18.056,62.102.148.68
Netherlands,s-Hertogenbosch,Found,51.6906,5.2755,77.247.181.162
Netherlands,s-Hertogenbosch,Ban,51.6906,5.2755,77.247.181.162
Germany,None,Found,51.2993,9.491,185.220.101.8
Germany,None,Ban,51.2993,9.491,185.220.101.8
Switzerland,Zurich,Found,47.394,8.445,195.206.105.217
Switzerland,Zurich,Ban,47.394,8.445,195.206.105.217
Sweden,None,Found,59.3247,18.056,171.25.193.20
Sweden,None,Ban,59.3247,18.056,171.25.193.20
Sweden,None,already banned,59.3247,18.056,171.25.193.20
Germany,None,Found,51.2993,9.491,185.220.101.16
Germany,None,Ban,51.2993,9.491,185.220.101.16
Germany,None,already banned,51.2993,9.491,185.220.101.16
United States,None,Found,37.751,-97.822,23.160.208.248
United States,None,Ban,37.751,-97.822,23.160.208.248
United States,None,already banned,37.751,-97.822,23.160.208.248
Germany,None,Found,51.2993,9.491,185.220.102.245
Germany,None,Ban,51.2993,9.491,185.220.102.245
United States,Las Vegas,Found,36.1685,-115.1164,209.141.40.46
United States,Las Vegas,Ban,36.1685,-115.1164,209.141.40.46
United States,None,Found,37.751,-97.822,107.189.11.163
United States,None,Ban,37.751,-97.822,107.189.11.163
Germany,None,Found,51.2993,9.491,185.220.102.251
Germany,None,Ban,51.2993,9.491,185.220.102.251
Ukraine,Kharkiv,Found,49.982,36.2566,178.165.72.177
Ukraine,Kharkiv,Ban,49.982,36.2566,178.165.72.177
Ukraine,Kharkiv,already banned,49.982,36.2566,178.165.72.177
United States,None,Found,37.751,-97.822,162.247.72.199
United States,None,Ban,37.751,-97.822,162.247.72.199
United States,None,Found,37.751,-97.822,162.247.74.200
United States,None,Ban,37.751,-97.822,162.247.74.200
United States,None,Found,37.751,-97.822,162.247.74.206
United States,None,Ban,37.751,-97.822,162.247.74.206
France,None,Found,48.8582,2.3387,51.75.52.118
France,None,Ban,48.8582,2.3387,51.75.52.118
Germany,None,Unban,51.2993,9.491,185.220.102.244
Netherlands,s-Hertogenbosch,Unban,51.6906,5.2755,77.247.181.165
Netherlands,Amsterdam,Unban,52.3759,4.8975,192.42.116.23
United States,Phoenix,Unban,33.4532,-112.0748,104.244.75.53
Germany,None,Unban,51.2993,9.491,185.220.101.15
Germany,None,Unban,51.2993,9.491,185.220.102.254
