date_1,action,server_port,message,ssh,perform,ip,date_2
"2020-10-02 08:26:05,559",actions,519,NOTICE,sshd,Unban,165.227.211.13,
"2020-10-02 08:26:16,760",filter,519,INFO,sshd,Found,119.45.143.143,10/2/2020 8:26
"2020-10-02 08:26:16,771",filter,519,INFO,sshd,Found,119.45.143.143,10/2/2020 8:26
"2020-10-02 08:26:16,804",actions,519,NOTICE,sshd,Ban,119.45.143.143,
"2020-10-02 08:26:19,478",filter,519,INFO,sshd,Found,119.45.143.143,10/2/2020 8:26
"2020-10-02 08:26:47,817",filter,519,INFO,sshd,Found,103.215.170.21,10/2/2020 8:26
"2020-10-02 08:26:47,962",filter,519,INFO,sshd,Found,103.215.170.21,10/2/2020 8:26
"2020-10-02 08:26:48,083",actions,519,NOTICE,sshd,Ban,103.215.170.21,
"2020-10-02 08:26:49,701",filter,519,INFO,sshd,Found,103.215.170.21,10/2/2020 8:26
"2020-10-02 08:27:34,282",filter,519,INFO,sshd,Found,119.29.128.126,10/2/2020 8:27
"2020-10-02 08:27:34,372",actions,519,NOTICE,sshd,Ban,119.29.128.126,
"2020-10-02 08:27:36,992",filter,519,INFO,sshd,Found,119.29.128.126,10/2/2020 8:27
"2020-10-02 08:27:52,881",filter,519,INFO,sshd,Found,51.75.158.163,10/2/2020 8:27
"2020-10-02 08:27:52,914",filter,519,INFO,sshd,Found,51.75.158.163,10/2/2020 8:27
"2020-10-02 08:27:53,037",actions,519,NOTICE,sshd,Ban,51.75.158.163,
"2020-10-02 08:27:55,620",filter,519,INFO,sshd,Found,51.75.158.163,10/2/2020 8:27
"2020-10-02 08:27:55,664",actions,519,NOTICE,sshd,already banned,51.75.158.163,
"2020-10-02 08:30:17,272",actions,519,NOTICE,sshd,Unban,43.231.129.193,
"2020-10-02 08:32:35,542",actions,519,NOTICE,sshd,Unban,200.73.128.183,
"2020-10-02 08:37:34,028",actions,519,NOTICE,sshd,Unban,206.189.132.8,
"2020-10-02 08:37:56,110",actions,519,NOTICE,sshd,Unban,42.117.195.155,
"2020-10-02 08:38:48,216",actions,519,NOTICE,sshd,Unban,124.156.139.95,
"2020-10-02 08:39:08,304",actions,519,NOTICE,sshd,Unban,61.133.232.248,
"2020-10-02 08:40:02,480",actions,519,NOTICE,sshd,Unban,112.35.27.97,
"2020-10-02 08:40:10,533",actions,519,NOTICE,sshd,Unban,111.200.54.203,
"2020-10-02 08:43:50,889",actions,519,NOTICE,sshd,Unban,36.110.27.122,
"2020-10-02 08:44:06,941",actions,519,NOTICE,sshd,Unban,45.148.10.65,
"2020-10-02 08:44:24,999",actions,519,NOTICE,sshd,Unban,203.186.187.169,
"2020-10-02 08:45:49,158",actions,519,NOTICE,sshd,Unban,190.255.222.2,
"2020-10-02 08:46:09,212",actions,519,NOTICE,sshd,Unban,113.179.211.18,Asia,VN,Vietnam,Nam Định,None,20.4164,106.1706,113.179.208.0/21,,
"2020-10-02 08:47:53,386",actions,519,NOTICE,sshd,Unban,189.240.62.227,
"2020-10-02 08:48:15,444",actions,519,NOTICE,sshd,Unban,164.90.222.254,
"2020-10-02 08:48:45,503",actions,519,NOTICE,sshd,Unban,211.119.65.75,
"2020-10-02 08:50:45,716",actions,519,NOTICE,sshd,Unban,141.98.9.163,
"2020-10-02 08:50:47,762",actions,519,NOTICE,sshd,Unban,141.98.9.164,
"2020-10-02 08:50:49,790",actions,519,NOTICE,sshd,Unban,141.98.9.165,
"2020-10-02 08:50:53,814",actions,519,NOTICE,sshd,Unban,141.98.9.166,
"2020-10-02 08:50:59,843",actions,519,NOTICE,sshd,Unban,141.98.9.167,
"2020-10-02 08:51:03,864",actions,519,NOTICE,sshd,Unban,141.98.9.162,
"2020-10-02 08:51:27,927",actions,519,NOTICE,sshd,Unban,106.75.154.104,
"2020-10-02 08:51:41,970",actions,519,NOTICE,sshd,Unban,145.239.95.241,
"2020-10-02 08:51:47,994",actions,519,NOTICE,sshd,Unban,54.37.232.108,
"2020-10-02 08:52:16,050",actions,519,NOTICE,sshd,Unban,200.216.31.148,
"2020-10-02 08:52:54,132",actions,519,NOTICE,sshd,Unban,174.89.139.35,
"2020-10-02 08:52:58,153",actions,519,NOTICE,sshd,Unban,61.133.232.253,
"2020-10-02 08:56:26,486",actions,519,NOTICE,sshd,Unban,61.133.232.251,
"2020-10-02 08:59:40,813",actions,519,NOTICE,sshd,Unban,106.52.96.247,
"2020-10-02 08:59:46,846",actions,519,NOTICE,sshd,Unban,61.133.232.254,
"2020-10-02 09:01:35,043",actions,519,NOTICE,sshd,Unban,163.172.133.23,
"2020-10-02 09:03:37,278",actions,519,NOTICE,sshd,Unban,106.12.38.133,
"2020-10-02 09:12:38,277",filter,519,INFO,sshd,Found,122.170.116.221,10/2/2020 9:12
"2020-10-02 09:12:38,284",filter,519,INFO,sshd,Found,122.170.116.221,10/2/2020 9:12
"2020-10-02 09:12:38,299",actions,519,NOTICE,sshd,Ban,122.170.116.221,
"2020-10-02 09:12:41,038",filter,519,INFO,sshd,Found,122.170.116.221,10/2/2020 9:12
"2020-10-02 09:13:34,441",actions,519,NOTICE,sshd,Unban,61.133.232.249,
"2020-10-02 09:14:31,598",filter,519,INFO,sshd,Found,51.178.53.233,10/2/2020 9:14
"2020-10-02 09:14:31,599",filter,519,INFO,sshd,Found,51.178.53.233,10/2/2020 9:14
"2020-10-02 09:14:31,750",actions,519,NOTICE,sshd,Ban,51.178.53.233,
"2020-10-02 09:14:33,332",filter,519,INFO,sshd,Found,51.178.53.233,10/2/2020 9:14
"2020-10-02 09:15:34,841",filter,519,INFO,sshd,Found,159.203.190.189,10/2/2020 9:15
"2020-10-02 09:15:34,846",filter,519,INFO,sshd,Found,159.203.190.189,10/2/2020 9:15
"2020-10-02 09:15:35,059",actions,519,NOTICE,sshd,Ban,159.203.190.189,
"2020-10-02 09:15:36,752",filter,519,INFO,sshd,Found,159.203.190.189,10/2/2020 9:15
"2020-10-02 09:21:53,631",actions,519,NOTICE,sshd,Unban,222.168.18.227,
"2020-10-02 09:23:37,756",filter,519,INFO,sshd,Found,36.33.24.141,10/2/2020 9:23
"2020-10-02 09:23:37,788",filter,519,INFO,sshd,Found,36.33.24.141,10/2/2020 9:23
"2020-10-02 09:23:37,816",actions,519,NOTICE,sshd,Ban,36.33.24.141,
"2020-10-02 09:23:39,634",filter,519,INFO,sshd,Found,36.33.24.141,10/2/2020 9:23
"2020-10-02 09:23:50,887",filter,519,INFO,sshd,Found,113.53.33.1,10/2/2020 9:23
"2020-10-02 09:23:51,067",actions,519,NOTICE,sshd,Ban,113.53.33.1,
"2020-10-02 09:24:45,182",actions,519,NOTICE,sshd,Unban,106.13.27.156,
"2020-10-02 09:25:37,292",actions,519,NOTICE,sshd,Unban,182.122.66.118,
"2020-10-02 09:28:36,283",filter,519,INFO,sshd,Found,137.74.219.112,10/2/2020 9:28
"2020-10-02 09:28:36,362",filter,519,INFO,sshd,Found,137.74.219.112,10/2/2020 9:28
"2020-10-02 09:28:36,819",actions,519,NOTICE,sshd,Ban,137.74.219.112,
"2020-10-02 09:28:37,968",filter,519,INFO,sshd,Found,137.74.219.112,10/2/2020 9:28
"2020-10-02 09:28:43,878",filter,519,INFO,sshd,Found,189.100.146.24,10/2/2020 9:28
"2020-10-02 09:28:44,085",actions,519,NOTICE,sshd,Ban,189.100.146.24,
"2020-10-02 09:28:45,754",filter,519,INFO,sshd,Found,189.100.146.24,10/2/2020 9:28
"2020-10-02 09:30:16,269",actions,519,NOTICE,sshd,Unban,60.167.239.99,
"2020-10-02 09:30:58,367",actions,519,NOTICE,sshd,Unban,49.88.112.73,
"2020-10-02 09:31:24,430",actions,519,NOTICE,sshd,Unban,51.210.40.91,
"2020-10-02 09:31:59,679",filter,519,INFO,sshd,Found,49.88.112.73,10/2/2020 9:31
"2020-10-02 09:31:59,702",actions,519,NOTICE,sshd,Ban,49.88.112.73,
"2020-10-02 09:32:01,285",filter,519,INFO,sshd,Found,49.88.112.73,10/2/2020 9:32
"2020-10-02 09:33:43,882",actions,519,NOTICE,sshd,Unban,111.229.129.64,
"2020-10-02 09:34:54,024",actions,519,NOTICE,sshd,Unban,175.6.40.19,
"2020-10-02 09:39:24,497",actions,519,NOTICE,sshd,Unban,119.45.6.150,
"2020-10-02 09:57:52,169",actions,519,NOTICE,sshd,Unban,61.133.232.250,
"2020-10-02 10:00:34,445",filter,519,INFO,sshd,Found,46.101.22.71,10/2/2020 10:00
"2020-10-02 10:00:34,461",actions,519,NOTICE,sshd,Ban,46.101.22.71,
"2020-10-02 10:00:36,399",filter,519,INFO,sshd,Found,46.101.22.71,10/2/2020 10:00
"2020-10-02 10:02:30,652",actions,519,NOTICE,sshd,Unban,90.145.218.249,
"2020-10-02 10:03:56,800",actions,519,NOTICE,sshd,Unban,113.20.99.123,
"2020-10-02 10:09:33,316",actions,519,NOTICE,sshd,Unban,103.110.89.148,
"2020-10-02 10:09:51,365",actions,519,NOTICE,sshd,Unban,51.38.32.230,
"2020-10-02 10:09:59,403",actions,519,NOTICE,sshd,Unban,111.229.142.98,
"2020-10-02 10:13:39,735",actions,519,NOTICE,sshd,Unban,61.133.232.252,
"2020-10-02 10:14:21,844",actions,519,NOTICE,sshd,Unban,124.160.96.249,
"2020-10-02 10:15:35,978",actions,519,NOTICE,sshd,Unban,165.22.210.35,
"2020-10-02 10:18:38,269",actions,519,NOTICE,sshd,Unban,192.241.249.226,
"2020-10-02 10:24:48,842",actions,519,NOTICE,sshd,Unban,118.69.66.183,
"2020-10-02 10:30:49,396",actions,519,NOTICE,sshd,Unban,123.21.35.234,
"2020-10-02 10:34:19,574",filter,519,INFO,sshd,Found,123.20.209.229,10/2/2020 10:34
"2020-10-02 10:34:19,788",filter,519,INFO,sshd,Found,123.20.209.229,10/2/2020 10:34
"2020-10-02 10:34:19,878",actions,519,NOTICE,sshd,Ban,123.20.209.229,
"2020-10-02 10:34:21,683",filter,519,INFO,sshd,Found,123.20.209.229,10/2/2020 10:34
"2020-10-02 10:41:09,594",filter,519,INFO,sshd,Found,45.148.10.65,10/2/2020 10:41
"2020-10-02 10:41:09,712",actions,519,NOTICE,sshd,Ban,45.148.10.65,
"2020-10-02 10:41:11,594",filter,519,INFO,sshd,Found,45.148.10.65,10/2/2020 10:41
"2020-10-02 10:41:15,776",actions,519,NOTICE,sshd,Unban,103.27.22.34,
"2020-10-02 10:43:37,779",filter,519,INFO,sshd,Found,37.150.107.161,10/2/2020 10:43
"2020-10-02 10:43:37,880",filter,519,INFO,sshd,Found,37.150.107.161,10/2/2020 10:43
"2020-10-02 10:43:37,999",actions,519,NOTICE,sshd,Ban,37.150.107.161,
"2020-10-02 10:43:40,585",filter,519,INFO,sshd,Found,37.150.107.161,10/2/2020 10:43
"2020-10-02 10:43:40,624",actions,519,NOTICE,sshd,already banned,37.150.107.161,
"2020-10-02 10:44:15,642",filter,519,INFO,sshd,Found,1.20.168.227,10/2/2020 10:44
"2020-10-02 10:44:15,642",filter,519,INFO,sshd,Found,1.20.168.227,10/2/2020 10:44
"2020-10-02 10:44:16,078",actions,519,NOTICE,sshd,Ban,1.20.168.227,
"2020-10-02 10:44:17,630",filter,519,INFO,sshd,Found,1.20.168.227,10/2/2020 10:44
"2020-10-02 10:52:30,210",filter,519,INFO,sshd,Found,49.233.51.204,10/2/2020 10:52
"2020-10-02 10:52:30,214",filter,519,INFO,sshd,Found,49.233.51.204,10/2/2020 10:52
